FrameNo, head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
67,-0.008538,0.54824,-0.038373,-0.14181,0.30702,0.021357,-0.29087,0.19286,0.14593,0.14346,0.3104,-0.001821,0.30253,0.20328,0.12087,-0.17453,0.054352,0.14444,0.18832,0.058241,0.11103,-0.054444,-0.14801,0.13612,0.08229,-0.14435,0.13233,-0.12848,-0.36723,-0.063875,0.12623,-0.3686,-0.075335,-0.11458,-0.67702,0.017186,0.11968,-0.677,0.002134
68,-0.008621,0.52826,-0.040697,-0.1419,0.28892,0.018705,-0.29133,0.17407,0.14438,0.14337,0.29102,-0.004315,0.30368,0.18648,0.11939,-0.17353,0.036218,0.14609,0.18841,0.042155,0.11247,-0.054324,-0.16501,0.14489,0.082934,-0.16146,0.14209,-0.12886,-0.3708,-0.07045,0.12658,-0.37316,-0.081576,-0.11365,-0.67988,0.016327,0.11881,-0.67935,0.001498
69,-0.008677,0.50743,-0.043588,-0.14199,0.27022,0.016238,-0.29187,0.15504,0.14277,0.1433,0.27199,-0.006416,0.30429,0.16752,0.11773,-0.17304,0.01783,0.14758,0.18849,0.024891,0.11465,-0.054148,-0.18234,0.15327,0.083591,-0.1788,0.15135,-0.12925,-0.37468,-0.076469,0.12683,-0.37791,-0.088001,-0.1125,-0.68276,0.015746,0.11787,-0.68148,0.000877
70,-0.008491,0.4866,-0.046645,-0.1421,0.25045,0.013204,-0.29207,0.13368,0.14071,0.14331,0.25294,-0.008347,0.30475,0.15057,0.11622,-0.17274,-0.00061,0.149,0.18922,0.008235,0.11652,-0.053931,-0.19896,0.16117,0.083905,-0.19555,0.16014,-0.12955,-0.37773,-0.0821,0.12695,-0.38077,-0.093789,-0.11146,-0.68518,0.015532,0.11687,-0.68366,0.000576
71,-0.008154,0.46586,-0.049722,-0.14191,0.23149,0.01041,-0.29241,0.11305,0.13875,0.14352,0.23236,-0.010685,0.30511,0.13026,0.11476,-0.17304,-0.018511,0.14943,0.18922,-0.010776,0.11652,-0.054208,-0.21475,0.16378,0.08402,-0.21146,0.16336,-0.12983,-0.38068,-0.087743,0.12698,-0.38261,-0.0994,-0.11043,-0.68749,0.015386,0.11597,-0.68588,0.000314
72,-0.007782,0.44506,-0.052264,-0.14172,0.21195,0.007968,-0.29278,0.092815,0.13681,0.14375,0.21305,-0.012932,0.30537,0.10931,0.11306,-0.17283,-0.03702,0.15063,0.19059,-0.030646,0.11837,-0.054329,-0.23133,0.16611,0.084123,-0.2279,0.16621,-0.13005,-0.38234,-0.091515,0.12694,-0.38401,-0.10223,-0.1098,-0.68954,0.01522,0.1149,-0.6879,0.000147
73,-0.007538,0.42333,-0.05533,-0.14174,0.19104,0.005427,-0.29357,0.072713,0.13476,0.14383,0.19333,-0.015136,0.30539,0.088699,0.11195,-0.17309,-0.055694,0.1531,0.19068,-0.049402,0.12085,-0.054904,-0.24858,0.1682,0.084065,-0.24492,0.16905,-0.13031,-0.38265,-0.095397,0.12694,-0.38496,-0.10522,-0.10934,-0.69143,0.015055,0.11378,-0.68957,-3.7e-05
74,-0.007514,0.40344,-0.057933,-0.14198,0.17232,0.002639,-0.29481,0.057595,0.13259,0.14382,0.17475,-0.016876,0.30535,0.071415,0.11085,-0.17305,-0.071937,0.15416,0.19033,-0.066587,0.12219,-0.055568,-0.26394,0.16976,0.083653,-0.26062,0.17098,-0.13075,-0.38265,-0.098822,0.127,-0.38549,-0.10807,-0.10914,-0.69327,0.014906,0.1127,-0.69158,-0.000228
75,-0.007354,0.38261,-0.060723,-0.14223,0.15268,-0.00012,-0.2955,0.040146,0.13012,0.14362,0.15792,-0.018592,0.30492,0.053659,0.10955,-0.17295,-0.087454,0.15416,0.18927,-0.084562,0.12374,-0.056297,-0.27988,0.17117,0.083211,-0.27603,0.17277,-0.13142,-0.38783,-0.10189,0.12691,-0.39096,-0.11073,-0.10899,-0.69534,0.014762,0.11184,-0.69326,-0.000423
76,-0.007311,0.36293,-0.063807,-0.14229,0.13368,-0.002948,-0.29625,0.022361,0.12781,0.14337,0.13799,-0.02026,0.30423,0.034855,0.10891,-0.17206,-0.10432,0.15475,0.18746,-0.10149,0.12399,-0.056974,-0.29571,0.17251,0.082717,-0.29234,0.17422,-0.13233,-0.39253,-0.10472,0.12682,-0.39587,-0.11328,-0.10897,-0.69723,0.014619,0.11119,-0.69459,-0.000653
77,-0.00714,0.34261,-0.066981,-0.14235,0.11413,-0.005142,-0.29691,0.003921,0.12578,0.14332,0.11893,-0.021621,0.3032,0.015642,0.1089,-0.17362,-0.12148,0.15707,0.18533,-0.12107,0.12694,-0.057703,-0.3117,0.17385,0.08226,-0.30846,0.17569,-0.13346,-0.39711,-0.10749,0.1268,-0.39995,-0.11552,-0.10898,-0.69888,0.014275,0.11067,-0.6959,-0.001024
78,-0.007067,0.32182,-0.069698,-0.14239,0.094076,-0.007403,-0.29728,-0.014753,0.12391,0.14311,0.098579,-0.023139,0.30219,-0.002187,0.10893,-0.17358,-0.13908,0.15827,0.18549,-0.13865,0.12976,-0.058487,-0.32855,0.17527,0.08172,-0.32542,0.17663,-0.13475,-0.40138,-0.11001,0.12674,-0.4031,-0.11731,-0.10897,-0.70011,0.013913,0.11028,-0.69715,-0.001411
79,-0.00699,0.30287,-0.07199,-0.14242,0.076215,-0.008954,-0.29802,-0.0303,0.12241,0.14305,0.079019,-0.024816,0.30131,-0.020379,0.10896,-0.17354,-0.15489,0.15927,0.18504,-0.156,0.1322,-0.059278,-0.34486,0.1761,0.081084,-0.34213,0.17681,-0.13603,-0.40511,-0.11204,0.12676,-0.40586,-0.11888,-0.10895,-0.70128,0.013565,0.11003,-0.69832,-0.001796
80,-0.006918,0.28059,-0.074488,-0.14256,0.055868,-0.011169,-0.29816,-0.048488,0.12108,0.14266,0.058954,-0.026301,0.30019,-0.037757,0.10934,-0.17332,-0.17303,0.16013,0.18364,-0.17671,0.13399,-0.060249,-0.36296,0.17675,0.080317,-0.36098,0.17684,-0.1373,-0.40909,-0.114,0.12679,-0.40843,-0.12029,-0.1091,-0.70281,0.013173,0.10984,-0.69977,-0.002197
81,-0.006944,0.2543,-0.076776,-0.14265,0.030755,-0.013386,-0.29814,-0.072795,0.12032,0.14229,0.033206,-0.027903,0.29918,-0.059915,0.11046,-0.17211,-0.1965,0.16098,0.18178,-0.1999,0.13606,-0.062293,-0.38678,0.17783,0.078487,-0.38531,0.17721,-0.13861,-0.4146,-0.11566,0.12684,-0.41205,-0.12144,-0.10939,-0.70471,0.012695,0.10979,-0.70159,-0.002578
82,-0.006999,0.2287,-0.078305,-0.143,0.007084,-0.015451,-0.29853,-0.096179,0.11973,0.14161,0.008328,-0.029492,0.29813,-0.08156,0.11142,-0.17207,-0.21809,0.16214,0.1798,-0.22174,0.13779,-0.064511,-0.41019,0.17892,0.076499,-0.40883,0.17784,-0.13983,-0.41985,-0.11671,0.12702,-0.41565,-0.1224,-0.10963,-0.70674,0.012225,0.10978,-0.70336,-0.002868
83,-0.007197,0.20366,-0.07933,-0.14354,-0.016111,-0.017061,-0.29903,-0.12061,0.11917,0.14055,-0.015254,-0.030812,0.29683,-0.10368,0.11185,-0.17141,-0.23901,0.16076,0.17771,-0.24288,0.13946,-0.066697,-0.43329,0.17988,0.07456,-0.43203,0.17852,-0.14083,-0.42527,-0.11735,0.12722,-0.4193,-0.12309,-0.1099,-0.70898,0.011801,0.10978,-0.70479,-0.002868
84,-0.00728,0.17979,-0.08018,-0.14403,-0.038632,-0.018601,-0.29961,-0.14258,0.11862,0.13947,-0.04014,-0.032144,0.29557,-0.12522,0.11225,-0.17012,-0.25902,0.15967,0.17524,-0.26293,0.141,-0.068714,-0.45551,0.18084,0.072759,-0.45489,0.17948,-0.14169,-0.43049,-0.11771,0.12741,-0.42333,-0.12335,-0.11003,-0.71099,0.011493,0.10978,-0.70611,-0.002847
85,-0.007568,0.15621,-0.08059,-0.14455,-0.060533,-0.019477,-0.30012,-0.16387,0.11864,0.13831,-0.061573,-0.033222,0.29441,-0.14442,0.11227,-0.16943,-0.27733,0.15993,0.17066,-0.28201,0.14167,-0.070541,-0.47687,0.18199,0.071044,-0.47588,0.18014,-0.14235,-0.43596,-0.11768,0.12757,-0.42744,-0.12336,-0.11018,-0.71314,0.011136,0.10979,-0.70745,-0.002847
86,-0.007983,0.13338,-0.080896,-0.14515,-0.081217,-0.020134,-0.30046,-0.18391,0.11853,0.13716,-0.083785,-0.033969,0.29355,-0.16326,0.1124,-0.16748,-0.29587,0.15974,0.16642,-0.29836,0.14238,-0.072172,-0.49752,0.18353,0.069385,-0.49675,0.18079,-0.14282,-0.44168,-0.11767,0.12769,-0.43165,-0.12336,-0.11024,-0.71512,0.011093,0.10984,-0.70878,-0.002659
