FrameNo, head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
11,0.01759,0.73572,-0.024098,-0.13728,0.45588,-0.003434,-0.22151,0.27211,-0.041863,0.15927,0.4568,-0.009925,0.23013,0.27397,-0.059178,-0.27361,0.12996,-0.14865,0.27098,0.12865,-0.16323,-0.067471,-0.001503,-0.029566,0.067951,-0.005365,-0.032285,-0.12876,-0.31915,-0.027036,0.11309,-0.32553,-0.023643,-0.14258,-0.6305,0.003712,0.13595,-0.64412,-0.00497
12,0.017565,0.73555,-0.02165,-0.13688,0.45752,-0.003426,-0.23363,0.30286,-0.057583,0.15848,0.45858,-0.010414,0.2399,0.30472,-0.07749,-0.28981,0.18331,-0.17855,0.28414,0.18218,-0.1984,-0.067663,-0.000935,-0.028284,0.068006,-0.004506,-0.031619,-0.12893,-0.3185,-0.025638,0.11292,-0.32517,-0.022439,-0.14254,-0.63184,0.004431,0.13587,-0.64356,-0.00464
13,0.017508,0.73546,-0.019099,-0.13652,0.45918,-0.003426,-0.24624,0.33748,-0.073571,0.15777,0.46103,-0.010896,0.24992,0.3404,-0.095987,-0.30459,0.24582,-0.20707,0.29623,0.24408,-0.23133,-0.067897,-0.000269,-0.026923,0.068109,-0.003472,-0.030827,-0.12911,-0.31767,-0.024288,0.11275,-0.32474,-0.021218,-0.1425,-0.63326,0.005086,0.13582,-0.64303,-0.004316
14,0.017421,0.73539,-0.016677,-0.13615,0.46091,-0.003426,-0.25614,0.378,-0.087512,0.15704,0.46415,-0.011389,0.25797,0.38158,-0.11019,-0.317,0.31644,-0.22919,0.30676,0.31424,-0.25882,-0.068074,0.000631,-0.025585,0.068242,-0.002185,-0.030154,-0.12928,-0.31671,-0.022989,0.11262,-0.32428,-0.020042,-0.14241,-0.6347,0.005644,0.13581,-0.64255,-0.004069
15,0.017369,0.73539,-0.01488,-0.13576,0.46498,-0.003426,-0.26233,0.42104,-0.095686,0.15631,0.46853,-0.012232,0.26263,0.42569,-0.11922,-0.32327,0.39305,-0.2423,0.31187,0.39418,-0.27324,-0.068073,0.002276,-0.024363,0.068383,-1.8e-05,-0.029519,-0.12937,-0.31578,-0.022061,0.11251,-0.32368,-0.019021,-0.14224,-0.63548,0.005881,0.13581,-0.6422,-0.003877
16,0.017399,0.73539,-0.013391,-0.1353,0.47047,-0.003837,-0.26509,0.46745,-0.099199,0.15566,0.47376,-0.013112,0.26579,0.4711,-0.12433,-0.32468,0.4735,-0.24577,0.31304,0.47794,-0.27913,-0.068072,0.004522,-0.023289,0.068525,0.002779,-0.028945,-0.12937,-0.31488,-0.021453,0.11246,-0.32313,-0.018157,-0.14206,-0.6364,0.006149,0.13581,-0.64185,-0.00368
17,0.017374,0.73542,-0.012709,-0.13505,0.4764,-0.004272,-0.26509,0.5126,-0.099323,0.15521,0.47912,-0.013929,0.26665,0.51702,-0.12465,-0.32468,0.55451,-0.24577,0.31304,0.56151,-0.27913,-0.068072,0.007198,-0.022463,0.068678,0.006061,-0.028709,-0.12937,-0.31404,-0.021131,0.11246,-0.32253,-0.017601,-0.14185,-0.63735,0.006321,0.13581,-0.64165,-0.00368
18,0.017312,0.73549,-0.012709,-0.13482,0.48287,-0.004772,-0.26509,0.55707,-0.099323,0.15474,0.48481,-0.014733,0.26665,0.56116,-0.12465,-0.32468,0.63115,-0.24577,0.31304,0.64211,-0.27913,-0.068047,0.010196,-0.022049,0.068894,0.009632,-0.028633,-0.12937,-0.3128,-0.020966,0.11246,-0.32188,-0.017435,-0.14166,-0.6374,0.006417,0.13582,-0.64153,-0.00368
19,0.017221,0.73569,-0.012709,-0.1346,0.48911,-0.005218,-0.26509,0.59778,-0.099323,0.15421,0.4912,-0.015603,0.26665,0.60428,-0.12465,-0.32468,0.70369,-0.24577,0.31304,0.71834,-0.27913,-0.067902,0.013468,-0.022016,0.069098,0.013429,-0.028633,-0.12931,-0.31139,-0.020966,0.11246,-0.32105,-0.017393,-0.14144,-0.63746,0.006468,0.13587,-0.64137,-0.00368
20,0.017238,0.73613,-0.012709,-0.13413,0.49683,-0.005622,-0.26504,0.63696,-0.099323,0.15359,0.49772,-0.016511,0.26665,0.64312,-0.12465,-0.32283,0.77035,-0.24019,0.31102,0.78714,-0.27443,-0.067689,0.017212,-0.022016,0.0693,0.017743,-0.028633,-0.12917,-0.30991,-0.020966,0.11246,-0.3201,-0.017393,-0.14121,-0.63757,0.006468,0.13609,-0.64148,-0.003721
