FrameNo, head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
0,0.018875,0.73582,-0.005948,-0.13462,0.47478,-0.047766,-0.29195,0.59287,-0.1647,0.16773,0.47456,-0.038672,0.30848,0.59435,-0.16539,-0.32319,0.75664,-0.36494,0.37116,0.74836,-0.37683,-0.067747,-0.003128,-0.032924,0.072195,-0.005674,-0.034785,-0.12492,-0.3303,-0.029286,0.11587,-0.33636,-0.002069,-0.14251,-0.65561,-0.013706,0.12557,-0.64413,0.012738
1,0.018377,0.73621,-0.005713,-0.13938,0.48122,-0.049595,-0.27147,0.64183,-0.17083,0.16869,0.48153,-0.038211,0.30626,0.62119,-0.16335,-0.31739,0.78836,-0.34603,0.36218,0.78347,-0.34812,-0.067654,-0.000306,-0.034613,0.071628,-0.00227,-0.034792,-0.12492,-0.3303,-0.029279,0.11575,-0.33613,-0.002366,-0.14322,-0.63683,-0.010164,0.12536,-0.64452,0.013039
2,0.017994,0.7366,-0.005841,-0.14159,0.48553,-0.049374,-0.26924,0.65005,-0.16737,0.16778,0.48692,-0.037591,0.30412,0.643,-0.15991,-0.30884,0.81741,-0.32443,0.35296,0.81317,-0.3152,-0.067851,0.001798,-0.035288,0.07105,0.000587,-0.034377,-0.12484,-0.33017,-0.029254,0.1155,-0.33586,-0.002478,-0.14294,-0.63548,-0.01003,0.12539,-0.64151,0.014338
3,0.017333,0.73753,-0.007186,-0.14293,0.49007,-0.048783,-0.26981,0.65696,-0.16178,0.16765,0.48943,-0.037734,0.30395,0.66019,-0.15095,-0.30412,0.85744,-0.31267,0.34611,0.83296,-0.29126,-0.067965,0.004353,-0.036919,0.070761,0.002876,-0.034916,-0.12486,-0.33014,-0.029496,0.11496,-0.33458,-0.003985,-0.14297,-0.63525,-0.010554,0.1246,-0.64272,0.014205
4,0.016914,0.73829,-0.008351,-0.14224,0.48927,-0.048667,-0.2674,0.68711,-0.14274,0.16877,0.48687,-0.037925,0.29621,0.7005,-0.13198,-0.2954,0.8957,-0.26141,0.33655,0.91841,-0.25794,-0.06823,0.004879,-0.037415,0.070658,0.003469,-0.035889,-0.12496,-0.33049,-0.030059,0.11473,-0.33362,-0.004294,-0.13955,-0.66095,-0.013358,0.12464,-0.64767,0.013176
5,0.016507,0.73971,-0.01066,-0.14185,0.50387,-0.049864,-0.26051,0.69921,-0.13545,0.16703,0.49761,-0.038772,0.28377,0.70517,-0.12111,-0.29401,0.8993,-0.25015,0.33369,0.91706,-0.2459,-0.068174,0.010788,-0.039164,0.070061,0.009646,-0.037721,-0.12497,-0.32963,-0.03127,0.11465,-0.33363,-0.004264,-0.1421,-0.63315,-0.012342,0.12553,-0.63683,0.013279
6,0.015939,0.74069,-0.013954,-0.14155,0.50929,-0.047641,-0.25587,0.70676,-0.12931,0.16545,0.50084,-0.03858,0.27827,0.70967,-0.11219,-0.29118,0.9142,-0.22605,0.32543,0.93654,-0.21238,-0.068537,0.014083,-0.040106,0.069497,0.013285,-0.038726,-0.12491,-0.32894,-0.03214,0.11454,-0.3333,-0.004241,-0.14214,-0.63312,-0.012295,0.1253,-0.63383,0.014272
7,0.01602,0.74063,-0.016704,-0.14111,0.50842,-0.048019,-0.25759,0.70906,-0.12429,0.1619,0.49971,-0.038623,0.28004,0.71293,-0.10648,-0.29353,0.9185,-0.21668,0.32384,0.92019,-0.1986,-0.068721,0.013823,-0.04036,0.069391,0.012908,-0.039456,-0.12463,-0.32842,-0.032549,0.11446,-0.33235,-0.005079,-0.14266,-0.63375,-0.013135,0.12496,-0.63878,0.01363
8,0.015748,0.74127,-0.019196,-0.14137,0.51217,-0.04796,-0.25624,0.71948,-0.11639,0.16057,0.50189,-0.038733,0.27658,0.72334,-0.097368,-0.29234,0.93122,-0.19689,0.31961,0.93586,-0.17824,-0.068877,0.015788,-0.041177,0.06909,0.014997,-0.040556,-0.12453,-0.32793,-0.033251,0.11435,-0.33182,-0.00549,-0.14268,-0.63375,-0.013137,0.12475,-0.63842,0.013614
9,0.015486,0.74184,-0.021691,-0.14167,0.51627,-0.047733,-0.25522,0.72783,-0.10971,0.15923,0.50383,-0.038899,0.27402,0.72946,-0.089956,-0.29222,0.94019,-0.18166,0.31648,0.94273,-0.16102,-0.069019,0.017848,-0.042031,0.068755,0.01716,-0.041669,-0.12441,-0.3274,-0.033932,0.11426,-0.33137,-0.005968,-0.14268,-0.63435,-0.013242,0.12454,-0.63832,0.013597
10,0.015268,0.74226,-0.024052,-0.14184,0.51927,-0.047353,-0.25497,0.73524,-0.10338,0.15798,0.50488,-0.03917,0.27283,0.7354,-0.083189,-0.29235,0.94973,-0.16574,0.31364,0.94979,-0.14383,-0.06917,0.019342,-0.042731,0.068464,0.018751,-0.042683,-0.1243,-0.3268,-0.034584,0.11417,-0.33089,-0.006457,-0.14269,-0.63494,-0.013377,0.12432,-0.63828,0.013469
11,0.015127,0.74257,-0.026232,-0.14187,0.52183,-0.046933,-0.25522,0.74196,-0.097531,0.15665,0.50564,-0.039441,0.27225,0.74109,-0.077062,-0.29281,0.95791,-0.15154,0.3118,0.95711,-0.12948,-0.06929,0.020573,-0.043402,0.068195,0.019998,-0.043622,-0.12419,-0.32628,-0.035147,0.11409,-0.33045,-0.006947,-0.14267,-0.63546,-0.013524,0.12416,-0.63828,0.013343
12,0.014996,0.74285,-0.028289,-0.14197,0.52411,-0.046511,-0.2555,0.74845,-0.091695,0.15618,0.50625,-0.039556,0.27179,0.74675,-0.07118,-0.29345,0.96643,-0.13712,0.31082,0.96457,-0.11701,-0.069356,0.021704,-0.04408,0.067966,0.021163,-0.044593,-0.12405,-0.32579,-0.035688,0.11402,-0.33011,-0.007448,-0.14275,-0.63497,-0.013487,0.12398,-0.63828,0.0133
13,0.01492,0.74305,-0.030155,-0.1421,0.5263,-0.046085,-0.25571,0.75482,-0.085809,0.15576,0.50687,-0.039597,0.27137,0.75213,-0.065917,-0.29401,0.97384,-0.12408,0.30983,0.97087,-0.10459,-0.0694,0.022771,-0.044715,0.067759,0.022253,-0.04546,-0.1239,-0.32533,-0.03614,0.11397,-0.32979,-0.007917,-0.14282,-0.63598,-0.013506,0.12373,-0.63871,0.013243
14,0.0149,0.7432,-0.031939,-0.1423,0.52829,-0.045646,-0.25579,0.76058,-0.080199,0.15576,0.50745,-0.039605,0.27098,0.75725,-0.061015,-0.29452,0.98082,-0.11167,0.30894,0.97679,-0.093341,-0.069409,0.023754,-0.045293,0.067594,0.023234,-0.046252,-0.12377,-0.32488,-0.036562,0.11392,-0.32951,-0.008374,-0.14284,-0.63811,-0.013507,0.12348,-0.63941,0.013096
15,0.01495,0.74324,-0.033204,-0.14253,0.52993,-0.045161,-0.25605,0.76437,-0.075133,0.15575,0.50834,-0.039482,0.27122,0.75974,-0.057006,-0.29495,0.98655,-0.10082,0.3082,0.98098,-0.08405,-0.069404,0.024542,-0.045641,0.067453,0.024041,-0.046891,-0.12365,-0.32461,-0.036778,0.11392,-0.32933,-0.008659,-0.14284,-0.64031,-0.013507,0.12323,-0.64,0.012955
16,0.015048,0.74324,-0.034441,-0.14266,0.53163,-0.04451,-0.2565,0.76827,-0.070581,0.15574,0.50917,-0.039381,0.27169,0.76169,-0.053284,-0.29518,0.9909,-0.09121,0.3077,0.98389,-0.076015,-0.069379,0.025257,-0.045953,0.067364,0.024748,-0.047442,-0.12353,-0.32436,-0.036949,0.11393,-0.32922,-0.008876,-0.14284,-0.64031,-0.013453,0.12313,-0.64039,0.012815
