FrameNo, head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
170,0.011137,0.75279,0.042881,-0.13904,0.53197,0.049893,-0.25521,0.74848,0.015244,0.16605,0.51932,0.039733,0.28557,0.73568,0.010983,-0.3149,0.98515,-0.025018,0.34521,0.97057,-0.043878,-0.060137,0.029256,0.00775,0.079605,0.026421,0.000578,-0.1124,-0.33564,-0.071081,0.12504,-0.34112,-0.058672,-0.13206,-0.74826,-0.062579,0.1309,-0.74445,-0.06855
171,0.011343,0.75628,0.044318,-0.13908,0.53526,0.050949,-0.25527,0.75187,0.016732,0.16639,0.52346,0.040965,0.28614,0.73959,0.012982,-0.31498,0.98849,-0.023188,0.34589,0.97451,-0.041624,-0.059417,0.033182,0.006928,0.080811,0.03021,-0.000335,-0.11153,-0.33526,-0.066028,0.12423,-0.34112,-0.053976,-0.13205,-0.74929,-0.062359,0.13179,-0.74576,-0.068254
172,0.011599,0.75947,0.044685,-0.1391,0.53856,0.051252,-0.25529,0.75516,0.017279,0.16679,0.52739,0.041534,0.28676,0.7434,0.013971,-0.31503,0.99173,-0.021951,0.34657,0.97833,-0.040287,-0.058759,0.036966,0.006114,0.081817,0.033846,-0.00131,-0.11079,-0.33524,-0.061433,0.12348,-0.34112,-0.049755,-0.13199,-0.74929,-0.062104,0.13222,-0.74576,-0.06796
173,0.011882,0.76233,0.045117,-0.13889,0.54151,0.051328,-0.25511,0.75808,0.017947,0.16722,0.53094,0.042085,0.28734,0.74682,0.014999,-0.31492,0.99468,-0.020676,0.3472,0.98181,-0.038856,-0.058196,0.040624,0.005421,0.082708,0.037278,-0.002307,-0.1101,-0.3321,-0.057179,0.12289,-0.33808,-0.045901,-0.13187,-0.74929,-0.060208,0.13257,-0.74576,-0.067485
174,0.01217,0.76487,0.0454,-0.13862,0.54414,0.051347,-0.2549,0.76066,0.018594,0.16763,0.53385,0.042513,0.28789,0.74964,0.01586,-0.3149,0.99737,-0.019321,0.34767,0.98473,-0.037424,-0.057749,0.043694,0.004853,0.083421,0.040096,-0.003266,-0.10951,-0.32942,-0.053444,0.12229,-0.33558,-0.042298,-0.13174,-0.74929,-0.058321,0.13295,-0.74576,-0.066803
175,0.012492,0.7685,0.045578,-0.13829,0.54733,0.051361,-0.2548,0.7638,0.019211,0.16791,0.53724,0.042524,0.28812,0.75306,0.016609,-0.31473,1.0006,-0.017735,0.3479,0.98821,-0.036008,-0.057347,0.047502,0.004262,0.084054,0.043623,-0.004309,-0.10902,-0.32589,-0.050553,0.12176,-0.33224,-0.039474,-0.13167,-0.74733,-0.055849,0.13331,-0.74467,-0.065346
176,0.012824,0.7717,0.045665,-0.13791,0.55032,0.051377,-0.25453,0.76673,0.019777,0.16825,0.54024,0.042539,0.28834,0.75615,0.017077,-0.31415,1.0038,-0.016332,0.34807,0.9914,-0.034821,-0.056981,0.051084,0.003663,0.084621,0.046992,-0.005372,-0.10871,-0.32251,-0.047635,0.12149,-0.32896,-0.036898,-0.13152,-0.74536,-0.053351,0.13363,-0.7434,-0.063894
177,0.013109,0.77451,0.045733,-0.13749,0.55184,0.051393,-0.25424,0.76846,0.020199,0.16856,0.54178,0.042552,0.28834,0.75799,0.01724,-0.31346,1.0057,-0.015055,0.34824,0.99325,-0.034104,-0.056773,0.053925,0.003167,0.085045,0.049722,-0.006489,-0.10856,-0.31974,-0.044903,0.12137,-0.32613,-0.034698,-0.13133,-0.74335,-0.050854,0.13394,-0.74212,-0.062284
178,0.013396,0.7771,0.045745,-0.137,0.55338,0.051243,-0.25386,0.77014,0.020617,0.16889,0.54327,0.042479,0.28835,0.75977,0.01724,-0.3127,1.0075,-0.013829,0.3484,0.99499,-0.033451,-0.056595,0.05639,0.002601,0.085366,0.052034,-0.007497,-0.10855,-0.31732,-0.041978,0.12126,-0.3237,-0.032076,-0.13106,-0.74131,-0.048253,0.13423,-0.74063,-0.060631
179,0.013668,0.77941,0.045757,-0.13653,0.55477,0.051086,-0.25348,0.77165,0.020924,0.16922,0.54473,0.042203,0.28843,0.76146,0.017244,-0.31193,1.0092,-0.012691,0.3486,0.99665,-0.032869,-0.056441,0.058673,0.002051,0.085621,0.054204,-0.008601,-0.10861,-0.31504,-0.039171,0.12116,-0.32137,-0.029561,-0.1308,-0.73872,-0.044944,0.13457,-0.739,-0.05863
