FrameNo, head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
0,0.013332,0.71678,-0.050199,-0.1456,0.46991,-0.020654,-0.2979,0.56866,-0.14219,0.14982,0.48274,-0.024739,0.30142,0.57113,-0.14342,-0.35325,0.69898,-0.33725,0.38444,0.70466,-0.34125,-0.066347,-0.004253,-0.035949,0.066339,-0.004608,-0.035901,-0.11154,-0.33426,-0.048686,0.1032,-0.33684,-0.032968,-0.10913,-0.64834,-0.015549,0.11705,-0.64834,-0.016518
1,0.012972,0.71698,-0.050129,-0.1472,0.48214,-0.023636,-0.2882,0.63331,-0.14635,0.14959,0.49694,-0.025688,0.30644,0.64106,-0.14264,-0.32922,0.81728,-0.31696,0.36112,0.82571,-0.30963,-0.065646,0.002012,-0.037872,0.066353,0.002395,-0.038222,-0.11154,-0.33367,-0.049183,0.10329,-0.33586,-0.033645,-0.10908,-0.64829,-0.015651,0.11721,-0.65035,-0.016937
2,0.012693,0.71712,-0.050118,-0.14665,0.48667,-0.024707,-0.27891,0.65744,-0.13892,0.15037,0.51036,-0.022841,0.29926,0.66881,-0.13432,-0.31714,0.84215,-0.28963,0.3442,0.84284,-0.26759,-0.06535,0.007331,-0.039256,0.066133,0.007364,-0.038991,-0.11138,-0.33273,-0.049738,0.10297,-0.33074,-0.034256,-0.10878,-0.64674,-0.015771,0.11716,-0.65034,-0.016937
3,0.011985,0.71818,-0.051346,-0.14521,0.49556,-0.028425,-0.26838,0.68856,-0.12693,0.14991,0.52108,-0.020336,0.27863,0.70099,-0.107,-0.29559,0.91464,-0.2441,0.31732,0.89372,-0.21967,-0.063891,0.016885,-0.044837,0.066917,0.016553,-0.041369,-0.11113,-0.33155,-0.050688,0.10239,-0.32852,-0.036157,-0.10861,-0.64702,-0.015728,0.1172,-0.65016,-0.016903
4,0.011765,0.7192,-0.052389,-0.14508,0.50143,-0.029914,-0.26119,0.70019,-0.11661,0.14877,0.52678,-0.018794,0.26167,0.76626,-0.10334,-0.28673,0.92864,-0.21768,0.30962,0.94065,-0.2007,-0.063699,0.020726,-0.047175,0.066904,0.020469,-0.042094,-0.11079,-0.32913,-0.052318,0.10198,-0.3272,-0.037542,-0.10858,-0.6464,-0.015999,0.1168,-0.65191,-0.017489
5,0.01152,0.72003,-0.053165,-0.14413,0.50504,-0.030755,-0.25505,0.70632,-0.10972,0.14684,0.53121,-0.017986,0.25575,0.76473,-0.096386,-0.2796,0.94367,-0.19188,0.29626,0.94727,-0.17916,-0.063561,0.023667,-0.04855,0.067092,0.023464,-0.043976,-0.1106,-0.32795,-0.05318,0.10132,-0.32629,-0.038508,-0.10653,-0.65488,-0.017503,0.11711,-0.65135,-0.017461
6,0.011034,0.72131,-0.055589,-0.14368,0.50797,-0.031362,-0.24892,0.71047,-0.10283,0.14546,0.53465,-0.017029,0.24752,0.77256,-0.08826,-0.27413,0.95222,-0.17614,0.28248,0.96186,-0.15378,-0.063323,0.02785,-0.050481,0.066865,0.02737,-0.044643,-0.11076,-0.32584,-0.055209,0.10061,-0.32478,-0.039949,-0.10656,-0.65353,-0.01752,0.11711,-0.65042,-0.017462
7,0.010401,0.72115,-0.056938,-0.14396,0.50484,-0.030815,-0.24593,0.71279,-0.099003,0.14433,0.53418,-0.017423,0.23859,0.76447,-0.078625,-0.27041,0.94669,-0.16823,0.27555,0.95519,-0.14498,-0.06414,0.029065,-0.053792,0.066022,0.029151,-0.046826,-0.1108,-0.3271,-0.058855,0.1002,-0.32517,-0.041743,-0.10703,-0.65472,-0.018201,0.11715,-0.64956,-0.018248
8,0.009977,0.72165,-0.058172,-0.14363,0.50681,-0.031263,-0.24158,0.71698,-0.093616,0.14257,0.53812,-0.016343,0.23066,0.77277,-0.072216,-0.26578,0.95259,-0.1556,0.26687,0.96409,-0.13045,-0.064156,0.03219,-0.055921,0.065702,0.032318,-0.048105,-0.1107,-0.32657,-0.060966,0.099567,-0.3249,-0.04322,-0.10686,-0.65647,-0.018979,0.11709,-0.64987,-0.018691
9,0.009463,0.72206,-0.059291,-0.14334,0.50843,-0.031547,-0.23798,0.71987,-0.089369,0.14081,0.54166,-0.015347,0.22444,0.77404,-0.066068,-0.26169,0.9573,-0.14626,0.25877,0.96782,-0.11806,-0.064169,0.035028,-0.057683,0.065322,0.0352,-0.049204,-0.11062,-0.32622,-0.06303,0.098896,-0.32468,-0.044624,-0.1067,-0.65856,-0.019895,0.11649,-0.64998,-0.019441
10,0.008666,0.72247,-0.060375,-0.14316,0.51018,-0.03175,-0.23487,0.72208,-0.086022,0.13913,0.54505,-0.014229,0.21876,0.77514,-0.060644,-0.25809,0.96034,-0.14016,0.25177,0.97081,-0.10853,-0.064192,0.037764,-0.059062,0.064793,0.038041,-0.049969,-0.11064,-0.32577,-0.065111,0.098056,-0.32447,-0.045988,-0.10671,-0.66029,-0.020745,0.1154,-0.65011,-0.020479
11,0.00782,0.72274,-0.06121,-0.14311,0.512,-0.031993,-0.2323,0.7238,-0.083969,0.13758,0.54838,-0.013132,0.21399,0.77555,-0.056591,-0.25492,0.962,-0.13706,0.24618,0.97181,-0.10337,-0.064441,0.040116,-0.059672,0.064094,0.04053,-0.050151,-0.11065,-0.32545,-0.067044,0.097177,-0.32431,-0.047213,-0.10666,-0.66178,-0.021549,0.11422,-0.65028,-0.021624
12,0.00687,0.723,-0.06189,-0.14307,0.51373,-0.032316,-0.23026,0.72486,-0.083984,0.13614,0.55141,-0.01245,0.21096,0.77579,-0.054993,-0.25233,0.96398,-0.13708,0.24197,0.97275,-0.10204,-0.064851,0.04241,-0.059669,0.063295,0.042876,-0.050145,-0.11067,-0.32501,-0.068434,0.096306,-0.32431,-0.048156,-0.10659,-0.66343,-0.022086,0.11302,-0.65028,-0.022833
13,0.005798,0.72321,-0.062449,-0.14301,0.51531,-0.032638,-0.22856,0.7257,-0.083996,0.1349,0.55384,-0.012128,0.20985,0.77611,-0.054985,-0.24988,0.96519,-0.1371,0.23957,0.97363,-0.10202,-0.065364,0.04442,-0.059665,0.062485,0.044881,-0.050139,-0.11072,-0.32501,-0.069154,0.095421,-0.32431,-0.049043,-0.10657,-0.66496,-0.022598,0.11173,-0.65032,-0.024118
14,0.004528,0.7237,-0.063161,-0.14288,0.51678,-0.033078,-0.22728,0.72606,-0.084006,0.13427,0.55559,-0.012207,0.20985,0.77706,-0.054985,-0.24813,0.96582,-0.13711,0.23957,0.97435,-0.10202,-0.066066,0.045921,-0.05966,0.061646,0.046163,-0.050133,-0.11089,-0.32517,-0.069269,0.094583,-0.32445,-0.049786,-0.10655,-0.66634,-0.022912,0.11034,-0.65047,-0.025444
