FrameNo,nose_3d_x,nose_3d_y,nose_3d_z,left_shoulder_3d_x,left_shoulder_3d_y,left_shoulder_3d_z,left_elbow_3d_x,left_elbow_3d_y,left_elbow_3d_z,right_shoulder_3d_x,right_shoulder_3d_y,right_shoulder_3d_z,right_elbow_3d_x,right_elbow_3d_y,right_elbow_3d_z,left_wrist_3d_x,left_wrist_3d_y,left_wrist_3d_z,right_wrist_3d_x,right_wrist_3d_y,right_wrist_3d_z,left_hip_3d_x,left_hip_3d_y,left_hip_3d_z,right_hip_3d_x,right_hip_3d_y,right_hip_3d_z,left_knee_3d_x,left_knee_3d_y,left_knee_3d_z,right_knee_3d_x,right_knee_3d_y,right_knee_3d_z,left_ankle_3d_x,left_ankle_3d_y,left_ankle_3d_z,right_ankle_3d_x,right_ankle_3d_y,right_ankle_3d_z
0,0.0169925,0.734362,-0.0256145,-0.14101249999999999,0.458382,0.022600500000000003,-0.16853249999999997,0.207902,0.053269500000000004,0.1600475,0.458492,0.017370500000000004,0.19646750000000002,0.213602,0.045610500000000005,-0.1906525,0.025078,0.010003500000000005,0.21330749999999998,0.026062,-0.011019499999999995,-0.0666315,0.0021260000000000003,0.0005635000000000015,0.0666315,-0.0021260000000000003,-0.0005634999999999946,-0.1116925,-0.313258,-0.0029304999999999956,0.1209775,-0.32211799999999996,0.011853500000000003,-0.1169725,-0.6180680000000001,0.03234650000000001,0.1451175,-0.636538,0.0432205
1,0.017161000000000003,0.7342355,-0.025835500000000004,-0.140713,0.4582355,0.0223065,-0.168233,0.2077855,0.053178500000000004,0.160647,0.4589555,0.018092499999999997,0.196657,0.2136055,0.045302499999999996,-0.189343,0.0250775,0.008636499999999998,0.213457,0.025548500000000002,-0.011416500000000003,-0.066647,0.0021465,0.0006234999999999991,0.066647,-0.0021465,-0.0006234999999999991,-0.111543,-0.3135045,-0.002885499999999999,0.121147,-0.3221145,0.0115275,-0.11683299999999999,-0.6181845,0.0320035,0.145127,-0.6368145,0.0428665
2,0.0173425,0.7342810000000001,-0.025643500000000007,-0.1411015,0.45804100000000003,0.022879499999999997,-0.1679915,0.207531,0.053795499999999996,0.1609385,0.459031,0.018458499999999996,0.1970885,0.214621,0.04527249999999999,-0.1882515,0.0035280000000000003,0.005820499999999996,0.2135985,0.024408,-0.011494500000000005,-0.0665965,0.0021540000000000005,0.0005184999999999981,0.0665965,-0.002154,-0.0005185000000000051,-0.1113815,-0.31353899999999996,-0.0029245000000000035,0.1212685,-0.322219,0.011319499999999996,-0.1166115,-0.618819,0.031869499999999995,0.1452585,-0.636579,0.0428335
3,0.0173705,0.7342905000000001,-0.025667499999999996,-0.1399215,0.4581305,0.0222735,-0.1678215,0.2079505,0.054277500000000006,0.1609385,0.45906050000000004,0.0183985,0.1969885,0.21473050000000002,0.0450645,-0.1884415,9.750000000000036e-05,0.004324500000000002,0.2136385,0.0242505,-0.0121275,-0.0666305,0.0021855000000000004,0.0005275000000000002,0.0666305,-0.0021855,-0.0005275000000000002,-0.1113315,-0.3136695,-0.0029034999999999964,0.1213185,-0.32219949999999997,0.011333500000000003,-0.1164715,-0.6182894999999999,0.031823500000000005,0.1452085,-0.6365895,0.0427015
4,0.017560000000000003,0.7338034999999999,-0.026361000000000002,-0.140566,0.4577335,0.022528,-0.167606,0.2073035,0.053745,0.161164,0.4593335,0.018896000000000003,0.197244,0.2144635,0.044322,-0.188476,0.0013905000000000002,0.005094000000000001,0.213824,0.0194465,-0.012414000000000001,-0.06659100000000001,0.0021745000000000002,0.0006309999999999996,0.06659100000000001,-0.0021745000000000002,-0.0006309999999999996,-0.111236,-0.3141865,-0.0034329999999999986,0.121724,-0.3227165,0.010995000000000001,-0.115736,-0.6208165000000001,0.031551,0.14538399999999999,-0.6371065,0.041658
5,0.0173795,0.733824,-0.026307000000000004,-0.1407175,0.457704,0.022536999999999995,-0.1676775,0.207314,0.054035,0.1611325,0.459174,0.018879999999999994,0.1971225,0.21445399999999998,0.044190999999999994,-0.1888475,0.003577,0.005836999999999995,0.21198250000000002,0.007831999999999999,-0.013862000000000006,-0.0665715,0.002116,0.0006609999999999949,0.0665715,-0.002116,-0.0006610000000000019,-0.11131750000000001,-0.314386,-0.003489000000000006,0.1216625,-0.32284599999999997,0.011124999999999996,-0.1156375,-0.621606,0.031287999999999996,0.1452525,-0.637056,0.04171
6,0.0172115,0.7338045000000001,-0.026528999999999997,-0.1409615,0.4573345,0.022392000000000006,-0.1678715,0.20701450000000002,0.05424000000000001,0.1608785,0.45910449999999997,0.018622000000000007,0.1969585,0.21459450000000002,0.04404500000000001,-0.1898615,0.0029495,0.006283000000000004,0.2178785,0.0341735,-0.011552999999999994,-0.0665505,0.0020664999999999998,0.0007040000000000032,0.0665505,-0.0020665,-0.0007039999999999963,-0.1114115,-0.31438550000000004,-0.0036769999999999928,0.1216285,-0.3227955,0.011106000000000005,-0.1157015,-0.6213255,0.030935000000000004,0.1452685,-0.6361454999999999,0.041523000000000004
7,0.0170025,0.733834,-0.026765999999999998,-0.14097749999999998,0.45806399999999997,0.022218,-0.16838750000000002,0.207774,0.054036,0.1606125,0.459214,0.017966000000000003,0.1971525,0.215064,0.044098000000000005,-0.1918375,0.003379,0.007604000000000003,0.2147325,0.020756999999999998,-0.013622999999999996,-0.0665715,0.0019579999999999997,0.000793000000000002,0.0665715,-0.001958,-0.0007929999999999951,-0.1116675,-0.314036,-0.003498999999999995,0.1214425,-0.322716,0.010916000000000002,-0.1161575,-0.621056,0.030538000000000003,0.14489249999999998,-0.636806,0.041138
8,0.016905,0.7337480000000001,-0.027039999999999995,-0.140993,0.45807800000000004,0.022050000000000004,-0.168523,0.207848,0.05407200000000001,0.160507,0.45919800000000005,0.017661000000000003,0.197487,0.215188,0.043902000000000004,-0.192823,0.0030889999999999997,0.007681000000000004,0.215357,0.021694,-0.013564999999999994,-0.066558,0.001932,0.0008590000000000021,0.066558,-0.0019320000000000001,-0.0008589999999999987,-0.11175299999999999,-0.314082,-0.0035379999999999995,0.12142700000000001,-0.32283199999999995,0.010853000000000005,-0.116173,-0.6213919999999999,0.030285000000000003,0.144757,-0.636822,0.040848
9,0.016789999999999996,0.7336745,-0.027233499999999994,-0.14100900000000002,0.45815449999999996,0.021933500000000005,-0.16872900000000002,0.2079645,0.05418150000000001,0.160381,0.45925449999999995,0.017467500000000004,0.19794099999999998,0.2153245,0.0437835,-0.19406900000000002,0.0028265,0.008020500000000003,0.21604099999999998,0.0204955,-0.014023499999999994,-0.06654399999999999,0.0019245000000000002,0.0009195000000000036,0.06654399999999999,-0.0019245,-0.0009194999999999967,-0.111839,-0.31410550000000004,-0.0035054999999999947,0.12138099999999999,-0.32293550000000004,0.010855500000000004,-0.116259,-0.6214355,0.030099500000000005,0.14460099999999998,-0.6368055,0.040657500000000006
