FrameNo,nose_x,nose_y,nose_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_ankle_x,left_ankle_y,left_ankle_z,right_ankle_x,right_ankle_y,right_ankle_z
0,0.011064000000000003,0.7503455,0.011847000000000003,-0.154962,0.4624155,0.015501000000000004,-0.17981199999999997,0.2094455,0.023406000000000003,0.163578,0.4594055,0.021725000000000005,0.200698,0.2189655,0.023420000000000003,-0.196382,0.0066254999999999994,-0.03415499999999999,0.20605800000000002,0.013110499999999999,-0.023055,-0.065119,0.0004634999999999995,0.00042700000000000377,0.065119,-0.00046350000000000037,-0.0004269999999999968,-0.117232,-0.3404345,-0.0026139999999999983,0.117878,-0.3308845,0.020792000000000005,-0.121892,-0.6535745000000001,0.017921000000000003,0.12581799999999999,-0.6250245000000001,0.024053000000000005
1,0.010646499999999998,0.750302,0.012777999999999998,-0.1553405,0.462452,0.014194999999999996,-0.1803005,0.211722,0.020753999999999998,0.1651395,0.457872,0.024542999999999995,0.1957295,0.208172,0.020966999999999996,-0.19319050000000001,0.01085,-0.045471,0.2048395,0.004652,-0.03597500000000001,-0.0651675,0.0004429999999999998,0.0010989999999999958,0.0651675,-0.0004429999999999998,-0.0010990000000000028,-0.11764050000000001,-0.340668,-0.001571000000000003,0.11753949999999999,-0.33064800000000005,0.021911,-0.1223105,-0.653488,0.019037999999999996,0.1262295,-0.6211479999999999,0.025088
2,0.010468499999999999,0.7506775,0.013154999999999997,-0.1554525,0.4628375,0.013818999999999998,-0.1806325,0.2129975,0.019934999999999998,0.1654275,0.4577575,0.024682999999999997,0.1991575,0.2153575,0.021556,-0.1930625,0.0126725,-0.04831300000000001,0.2044075,0.0108795,-0.034943,-0.0651115,0.00032949999999999993,0.0008409999999999945,0.0651115,-0.00032949999999999993,-0.0008410000000000015,-0.1178225,-0.3404525,-0.0010280000000000011,0.1174275,-0.3303325,0.022278,-0.1237225,-0.6501525,0.020096,0.1262175,-0.6180424999999999,0.024915
3,0.010273500000000001,0.750781,0.013274999999999999,-0.1555765,0.462541,0.013306000000000002,-0.1808165,0.213941,0.019953000000000002,0.16517349999999997,0.457251,0.024342000000000003,0.2000535,0.218781,0.02216,-0.1924265,0.012845,-0.05161,0.2041135,0.012409,-0.035269999999999996,-0.0652275,0.00032300000000000037,0.0013260000000000008,0.0652275,-0.0003229999999999995,-0.0013260000000000008,-0.1181665,-0.340269,-0.0002360000000000001,0.1172435,-0.330139,0.02289,-0.1241365,-0.650419,0.02101,0.1265235,-0.616939,0.025574
4,0.009857999999999997,0.7515955000000001,0.012570499999999995,-0.156163,0.4624655,0.013388499999999998,-0.180863,0.2178555,0.020125499999999998,0.166097,0.45800549999999995,0.023507499999999997,0.201947,0.2253955,0.021625499999999995,-0.192033,0.0119055,-0.051640500000000006,0.202157,0.0127885,-0.0361755,-0.065461,0.00022949999999999967,0.002206499999999993,0.065461,-0.00022949999999999967,-0.0022065,-0.119533,-0.3406445,0.0023544999999999955,0.117527,-0.32924450000000005,0.022426499999999995,-0.125783,-0.6512844999999999,0.024047499999999996,0.126127,-0.6162745,0.027161499999999998
5,0.010262499999999999,0.750896,0.008857999999999998,-0.1571765,0.46129600000000004,0.013654,-0.1810965,0.217856,0.021772,0.1674435,0.457866,0.021105,0.20326349999999999,0.228746,0.020113,-0.1922165,0.010318,-0.046859000000000005,0.2003835,0.010865,-0.037848,-0.0654445,0.00016800000000000061,0.002790000000000001,0.0654445,-0.00016799999999999975,-0.002790000000000001,-0.1210065,-0.342394,0.004247000000000001,0.1174035,-0.329544,0.022986,-0.1276165,-0.6522640000000001,0.026681,0.1251335,-0.616094,0.028978999999999998
6,0.007795000000000003,0.7512395000000001,0.006837499999999996,-0.15947499999999998,0.4597595,0.019496499999999996,-0.18329499999999999,0.2193695,0.025803499999999997,0.165365,0.4583195,0.020694499999999998,0.20084500000000002,0.2165495,0.0191275,-0.194045,0.0171615,-0.035713499999999995,0.196965,0.012626499999999999,-0.0367145,-0.065632,0.00020449999999999982,0.003888499999999996,0.065632,-0.0002045000000000007,-0.003888500000000003,-0.123215,-0.34240050000000005,0.003535499999999997,0.11503500000000001,-0.3294205,0.026282499999999997,-0.132795,-0.6531405,0.030586499999999996,0.12108500000000001,-0.6203405,0.032480499999999995
7,0.008375999999999998,0.750631,0.006051500000000008,-0.159716,0.461451,0.017316500000000005,-0.18068599999999999,0.21360099999999999,0.026716500000000008,0.164354,0.457941,0.021662500000000005,0.20078400000000002,0.218861,0.020886500000000006,-0.195546,0.009462,-0.0259905,0.198834,0.012149,-0.032383499999999996,-0.065253,0.00046000000000000034,0.0027995000000000034,0.065253,-0.00046000000000000034,-0.0027994999999999964,-0.12156600000000001,-0.342159,0.00043850000000000833,0.11474400000000001,-0.330819,0.027484500000000005,-0.132476,-0.652489,0.028475500000000008,0.120644,-0.622609,0.03317250000000001
8,0.008133500000000002,0.750648,0.004818999999999997,-0.1592155,0.461368,0.017424999999999996,-0.1816155,0.214418,0.028130999999999996,0.1642245,0.457828,0.021312999999999995,0.2009245,0.219368,0.021089999999999994,-0.1973555,0.010034999999999999,-0.026242,0.19843449999999999,0.012248,-0.031696,-0.0652565,0.0005179999999999998,0.0030019999999999977,0.0652565,-0.0005180000000000002,-0.0030020000000000047,-0.1220955,-0.34227199999999997,0.0003979999999999956,0.1141345,-0.330922,0.028693999999999994,-0.1343055,-0.652282,0.029908999999999995,0.1194045,-0.6224419999999999,0.03490599999999999
9,0.0080585,0.750678,0.0035875000000000004,-0.15871549999999998,0.461328,0.0176225,-0.18341549999999998,0.215158,0.029419499999999998,0.16405450000000002,0.457928,0.0210745,0.2010045,0.220638,0.021502499999999997,-0.19914549999999998,0.010509999999999999,-0.025244500000000003,0.19841450000000002,0.012646,-0.030849500000000002,-0.0652445,0.0005509999999999994,0.0031515000000000015,0.0652445,-0.0005510000000000003,-0.0031515000000000015,-0.1225455,-0.342352,0.0006234999999999991,0.11343450000000001,-0.330912,0.030071499999999998,-0.1359655,-0.652002,0.031156499999999997,0.11813449999999999,-0.6223620000000001,0.0366065
