f1_weighted,accuracy,precision,recall
0.5887874936329547,0.580952380952381,0.632610773913295,0.580952380952381
0.5170161109605528,0.5142857142857142,0.5600456962474383,0.5142857142857142
0.540413697669328,0.5285714285714286,0.5951326651964148,0.5285714285714286
0.5617438945901945,0.5571428571428572,0.6100009804365205,0.5571428571428572
0.5088169617440469,0.507177033492823,0.5432194233696032,0.507177033492823
0.5393069290059329,0.5311004784688995,0.5861372979640798,0.5311004784688995
0.6006228303608765,0.5933014354066986,0.6435586626276447,0.5933014354066986
0.5817617872822742,0.569377990430622,0.6113429273665032,0.569377990430622
0.5994526675210556,0.6028708133971292,0.6472477930201854,0.6028708133971292
0.5700483472237309,0.5550239234449761,0.6375129363576091,0.5550239234449761
