FrameNo, head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
0,0.009641,0.75856,0.022261,-0.15084,0.46469,0.027843,-0.1763,0.2097,0.026905,0.15735,0.46027,0.031615,0.18295,0.21061,0.035285,-0.19578,0.008542,-0.049583,0.19709,0.00591,-0.042433,-0.071921,-0.000716,-0.033568,0.074285,-0.004979,-0.03432,-0.1231,-0.38736,-0.05011,0.11227,-0.41655,-0.025007,-0.12599,-0.73942,-0.054236,0.11774,-0.73725,-0.055234
1,0.009623,0.75848,0.022456,-0.15072,0.4648,0.027744,-0.17641,0.20976,0.026572,0.15736,0.46032,0.031817,0.18286,0.21043,0.03503,-0.19443,0.008727,-0.050718,0.19788,0.008625,-0.040984,-0.0719,-0.000649,-0.033578,0.074293,-0.004967,-0.034261,-0.12303,-0.38807,-0.050024,0.1123,-0.41643,-0.025076,-0.12624,-0.74116,-0.053967,0.11875,-0.73652,-0.057349
2,0.009646,0.75835,0.022663,-0.15193,0.46477,0.029156,-0.17664,0.2096,0.025957,0.15735,0.46014,0.031913,0.18286,0.21042,0.034823,-0.19365,0.008863,-0.052461,0.19655,0.009351,-0.043632,-0.071933,-0.000645,-0.033589,0.074249,-0.004966,-0.034273,-0.12308,-0.38852,-0.049976,0.11226,-0.41617,-0.025195,-0.12632,-0.73964,-0.054049,0.11793,-0.73755,-0.058112
3,0.012693,0.74436,0.029266,-0.1506,0.45182,0.033034,-0.17694,0.19713,0.027531,0.15876,0.44552,0.036213,0.18305,0.19587,0.036293,-0.19359,-0.002704,-0.053401,0.19487,-0.007748,-0.046785,-0.073222,-0.013544,-0.032619,0.072918,-0.018727,-0.033089,-0.1265,-0.40104,-0.05159,0.10873,-0.43018,-0.026705,-0.1316,-0.75117,-0.058083,0.11271,-0.75143,-0.061675
4,0.012605,0.74433,0.029733,-0.15031,0.45216,0.032814,-0.17775,0.19773,0.026288,0.15817,0.44553,0.036277,0.18405,0.19763,0.03413,-0.19819,-0.000675,-0.057494,0.19563,-0.005922,-0.052448,-0.073409,-0.013518,-0.032671,0.072575,-0.018892,-0.032788,-0.12657,-0.40072,-0.051499,0.10861,-0.42933,-0.026707,-0.13161,-0.75112,-0.058199,0.1124,-0.75165,-0.06043
5,0.011869,0.74453,0.031211,-0.15231,0.45221,0.034478,-0.20668,0.23339,-0.005681,0.15655,0.44745,0.038029,0.20954,0.2355,0.00641,-0.2555,0.058067,-0.12491,0.23677,0.057555,-0.11644,-0.07382,-0.013488,-0.032446,0.072354,-0.01882,-0.031858,-0.12772,-0.39676,-0.049376,0.10734,-0.4248,-0.026164,-0.13059,-0.75026,-0.057271,0.11021,-0.75599,-0.062866
6,0.011225,0.74459,0.032772,-0.15252,0.45247,0.034646,-0.22553,0.25312,-0.017669,0.15539,0.44816,0.037632,0.22111,0.24441,-0.006229,-0.27714,0.086136,-0.14786,0.24941,0.08047,-0.14796,-0.073853,-0.013483,-0.032355,0.072577,-0.018788,-0.031412,-0.12823,-0.38831,-0.047956,0.10698,-0.42373,-0.025443,-0.13032,-0.74914,-0.0576,0.11028,-0.75605,-0.062877
7,0.008326,0.75044,0.035774,-0.15134,0.46292,0.032386,-0.25284,0.32102,-0.050369,0.15296,0.45875,0.032522,0.25054,0.308,-0.045985,-0.31478,0.22876,-0.20605,0.2904,0.21839,-0.20674,-0.073288,-0.006378,-0.02813,0.074135,-0.010811,-0.029671,-0.1256,-0.38185,-0.046905,0.10768,-0.4178,-0.024075,-0.12862,-0.73924,-0.051613,0.11268,-0.75021,-0.058705
8,0.007543,0.75044,0.037141,-0.1517,0.46506,0.032371,-0.26861,0.35675,-0.064166,0.15267,0.46197,0.032252,0.26405,0.34224,-0.060359,-0.33819,0.30001,-0.23235,0.3084,0.28794,-0.23341,-0.07339,-0.005684,-0.026754,0.074304,-0.009841,-0.028537,-0.12564,-0.37968,-0.045992,0.10753,-0.41668,-0.02353,-0.12866,-0.73817,-0.05063,0.11266,-0.75021,-0.058705
9,0.006738,0.75044,0.038424,-0.15243,0.46774,0.032341,-0.28405,0.39577,-0.077729,0.15261,0.46544,0.031827,0.27737,0.37865,-0.074387,-0.3602,0.37588,-0.25545,0.32554,0.36168,-0.25648,-0.07348,-0.004753,-0.025358,0.074401,-0.008567,-0.027437,-0.1257,-0.37729,-0.045082,0.1074,-0.41557,-0.022971,-0.12874,-0.73684,-0.049631,0.11266,-0.75021,-0.05859
