FrameNo, head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
0,-0.000544,0.72004,0.029205,-0.16841,0.48269,0.033622,-0.36747,0.63438,0.025068,0.16414,0.49661,0.044201,0.33715,0.69107,0.057905,-0.48851,0.79805,-0.019304,0.45301,0.88799,0.050231,-0.068973,-0.002686,-0.033032,0.073214,-0.004162,-0.034932,-0.12562,-0.39265,-0.046473,0.12029,-0.43017,-0.021745,-0.13039,-0.78116,-0.040181,0.13707,-0.78963,-0.046007
1,-0.000324,0.71999,0.029169,-0.16808,0.48278,0.033739,-0.36762,0.6344,0.02498,0.1643,0.49663,0.044208,0.33833,0.69192,0.057892,-0.48688,0.79557,-0.019968,0.45313,0.8879,0.050029,-0.068834,-0.00269,-0.03257,0.07333,-0.004232,-0.034446,-0.12567,-0.39288,-0.046083,0.12079,-0.42865,-0.021149,-0.13042,-0.78075,-0.040082,0.13725,-0.78933,-0.045101
2,-0.000261,0.72017,0.029084,-0.16801,0.48275,0.033629,-0.36766,0.63438,0.024813,0.16434,0.49657,0.04422,0.33858,0.69185,0.057826,-0.48722,0.79263,-0.020829,0.45287,0.8857,0.049531,-0.068683,-0.002677,-0.032424,0.073428,-0.0042,-0.034367,-0.12567,-0.39286,-0.04606,0.12089,-0.42918,-0.020998,-0.13034,-0.78076,-0.040077,0.13745,-0.78942,-0.045529
3,-0.000149,0.72018,0.029295,-0.16758,0.4824,0.033401,-0.36775,0.63424,0.024536,0.16444,0.49637,0.044141,0.33918,0.6919,0.058076,-0.48972,0.79634,-0.022278,0.45274,0.88304,0.049623,-0.0686,-0.002774,-0.03234,0.073667,-0.004372,-0.034079,-0.12569,-0.39286,-0.045675,0.12131,-0.43127,-0.020221,-0.13009,-0.77685,-0.037436,0.13737,-0.7897,-0.045544
4,-0.000158,0.72026,0.02946,-0.16744,0.48231,0.03331,-0.36773,0.63399,0.024399,0.16448,0.49633,0.044257,0.33927,0.69181,0.058274,-0.48783,0.79175,-0.021653,0.4529,0.88249,0.049634,-0.068521,-0.002803,-0.032234,0.073779,-0.004459,-0.033862,-0.12572,-0.39269,-0.045269,0.12138,-0.43196,-0.020094,-0.13033,-0.77722,-0.034592,0.13757,-0.7898,-0.045892
5,-0.000178,0.72056,0.030126,-0.16731,0.48227,0.033228,-0.36735,0.63285,0.02387,0.16442,0.49605,0.044288,0.33938,0.69109,0.058621,-0.48898,0.78936,-0.022555,0.45311,0.88129,0.049931,-0.068345,-0.002956,-0.031925,0.073969,-0.004608,-0.033445,-0.12575,-0.39294,-0.044501,0.12147,-0.43217,-0.019898,-0.13028,-0.77722,-0.034146,0.1382,-0.78983,-0.04647
6,-0.000209,0.72067,0.030484,-0.16729,0.48227,0.033173,-0.36742,0.63227,0.023257,0.16445,0.49596,0.044306,0.33934,0.69087,0.058831,-0.48904,0.78891,-0.022591,0.45314,0.88112,0.049912,-0.068249,-0.003025,-0.031731,0.074056,-0.004693,-0.033126,-0.12571,-0.3928,-0.044263,0.12156,-0.43219,-0.019893,-0.13085,-0.77532,-0.034586,0.13811,-0.7898,-0.046019
7,-0.001872,0.73077,0.02784,-0.16792,0.49123,0.030163,-0.36867,0.64044,0.020711,0.16408,0.50567,0.041115,0.33848,0.70098,0.054308,-0.49065,0.7987,-0.026012,0.45196,0.89323,0.044467,-0.067753,0.006106,-0.032764,0.074617,0.004717,-0.033919,-0.12477,-0.38352,-0.043556,0.12303,-0.42113,-0.01989,-0.12893,-0.76976,-0.034329,0.13924,-0.78069,-0.043316
8,-0.002432,0.7335,0.02759,-0.16792,0.49329,0.029353,-0.36915,0.64179,0.019973,0.16401,0.50793,0.040305,0.33855,0.70332,0.053286,-0.49134,0.79913,-0.026911,0.45167,0.89462,0.042939,-0.067594,0.008275,-0.032781,0.074805,0.006934,-0.033859,-0.12455,-0.38124,-0.043132,0.12341,-0.41873,-0.019825,-0.12851,-0.76768,-0.033646,0.13959,-0.7784,-0.04264
9,-0.003119,0.73625,0.02738,-0.16797,0.49533,0.028526,-0.36967,0.64313,0.019287,0.16389,0.51015,0.039484,0.33856,0.70549,0.052155,-0.49204,0.79979,-0.027643,0.45135,0.8959,0.041268,-0.067469,0.010431,-0.032864,0.074956,0.009148,-0.033832,-0.12435,-0.37897,-0.04275,0.12374,-0.41666,-0.019755,-0.1281,-0.76553,-0.03309,0.1399,-0.77609,-0.042118
