FrameNo, head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
0,-0.014619,0.6471,0.050606,-0.17088,0.45344,0.016454,-0.27662,0.63778,-0.03011,0.16,0.46606,0.014303,0.26956,0.6456,-0.050673,-0.098794,0.73261,0.041079,0.091539,0.7245,0.032574,-0.063881,-0.002328,-0.0333,0.068537,0.002134,-0.03575,-0.13137,-0.37678,-0.072841,0.13338,-0.36826,-0.057317,-0.20628,-0.78052,-0.056609,0.2006,-0.78585,-0.034591
1,-0.014613,0.6471,0.050108,-0.17088,0.4535,0.016428,-0.27663,0.63774,-0.030657,0.15994,0.46597,0.014253,0.26954,0.64551,-0.050675,-0.098914,0.73302,0.040224,0.091394,0.72462,0.032151,-0.063871,-0.002326,-0.033336,0.068562,0.00216,-0.035776,-0.1315,-0.37703,-0.07295,0.13342,-0.36801,-0.057346,-0.20624,-0.78158,-0.056742,0.20075,-0.78632,-0.034457
2,-0.014601,0.6472,0.050028,-0.17086,0.45351,0.016412,-0.27671,0.63762,-0.031065,0.15977,0.46627,0.014321,0.2696,0.64565,-0.050689,-0.099257,0.73326,0.039941,0.091323,0.72459,0.032053,-0.063872,-0.002326,-0.033342,0.068511,0.002132,-0.035716,-0.1315,-0.37662,-0.07307,0.1334,-0.36829,-0.057221,-0.20274,-0.75782,-0.054648,0.20096,-0.78648,-0.034508
3,-0.014552,0.64739,0.049929,-0.17086,0.45354,0.016268,-0.27636,0.63772,-0.032115,0.15992,0.46633,0.014105,0.26961,0.64581,-0.050796,-0.099174,0.73355,0.039222,0.091218,0.72446,0.031981,-0.063873,-0.002335,-0.033389,0.068442,0.002083,-0.035777,-0.13153,-0.37664,-0.073047,0.1334,-0.3681,-0.057253,-0.20293,-0.7595,-0.054826,0.20103,-0.78652,-0.034538
4,-0.015377,0.64433,0.050062,-0.17131,0.45041,0.016371,-0.27714,0.63444,-0.031872,0.15936,0.46373,0.01447,0.26869,0.64355,-0.050027,-0.10032,0.73072,0.039713,0.090213,0.72194,0.032812,-0.063838,-0.005178,-0.033371,0.068542,-0.000569,-0.035817,-0.13107,-0.3795,-0.073484,0.13386,-0.37053,-0.057674,-0.20248,-0.76519,-0.056313,0.20208,-0.78898,-0.035425
5,-0.015461,0.64417,0.049586,-0.17131,0.4504,0.016044,-0.27717,0.63443,-0.032054,0.15922,0.464,0.014407,0.26864,0.64375,-0.050158,-0.10038,0.73087,0.039417,0.090166,0.72201,0.032792,-0.063843,-0.005197,-0.03342,0.068501,-0.000587,-0.035865,-0.13115,-0.37971,-0.073431,0.13387,-0.3704,-0.057697,-0.20415,-0.77594,-0.057298,0.20322,-0.79407,-0.034948
6,-0.01549,0.64399,0.049195,-0.1713,0.45043,0.015767,-0.27635,0.6348,-0.033127,0.15921,0.46394,0.014262,0.26862,0.64374,-0.05013,-0.10009,0.73118,0.039492,0.09007,0.7222,0.032507,-0.06384,-0.005172,-0.033431,0.068527,-0.000542,-0.03587,-0.1312,-0.37971,-0.073476,0.13387,-0.36998,-0.057739,-0.20473,-0.78065,-0.05764,0.20117,-0.78033,-0.035697
7,-0.01556,0.64558,0.048456,-0.17138,0.4524,0.01538,-0.2766,0.6367,-0.034285,0.1593,0.46432,0.013509,0.26869,0.64426,-0.050635,-0.10035,0.73699,0.034214,0.090757,0.72414,0.031377,-0.063896,-0.003776,-0.033445,0.068484,0.000611,-0.035899,-0.13132,-0.37854,-0.073606,0.13365,-0.36912,-0.057706,-0.20535,-0.77978,-0.057465,0.20226,-0.78984,-0.035897
8,-0.015545,0.64523,0.04807,-0.17171,0.45269,0.015324,-0.2765,0.63702,-0.035004,0.15923,0.46407,0.013243,0.26857,0.64406,-0.050575,-0.1007,0.73854,0.032132,0.090988,0.72558,0.030519,-0.063983,-0.003737,-0.033388,0.068406,0.000614,-0.035984,-0.13131,-0.37854,-0.07367,0.13365,-0.3691,-0.057754,-0.20535,-0.77987,-0.057573,0.20248,-0.79069,-0.03613
9,-0.015529,0.64488,0.047679,-0.1717,0.45234,0.015035,-0.27639,0.63667,-0.035776,0.15905,0.46388,0.012773,0.26843,0.6439,-0.050505,-0.1012,0.74025,0.02983,0.092742,0.73017,0.028818,-0.064106,-0.003611,-0.03328,0.06825,0.000632,-0.03623,-0.13128,-0.3785,-0.073669,0.13365,-0.3691,-0.057754,-0.20534,-0.77987,-0.057673,0.20267,-0.79143,-0.036269
