FrameNo, head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
0,0.005559,0.75697,0.031213,-0.16224,0.459,0.032793,-0.20256,0.23576,-0.014184,0.15711,0.45672,0.02993,0.20703,0.24548,0.003497,-0.2419,0.060472,-0.13913,0.22939,0.055345,-0.10164,-0.071146,-0.000654,-0.033439,0.074485,-0.004979,-0.034659,-0.12518,-0.37276,-0.058658,0.12009,-0.41794,-0.026966,-0.12932,-0.73363,-0.069709,0.12976,-0.74516,-0.060332
1,0.005975,0.75724,0.034279,-0.16118,0.46048,0.031718,-0.22395,0.26301,-0.045652,0.15513,0.45829,0.028848,0.22546,0.2548,-0.014377,-0.27353,0.10689,-0.19171,0.25467,0.082909,-0.14746,-0.07122,-0.000656,-0.033405,0.074597,-0.005024,-0.0346,-0.12584,-0.37148,-0.056901,0.11896,-0.41483,-0.025986,-0.12912,-0.73241,-0.0676,0.12865,-0.74765,-0.059482
2,0.006089,0.75725,0.035594,-0.16018,0.46156,0.030885,-0.232,0.27347,-0.062423,0.15184,0.45959,0.027901,0.23582,0.26628,-0.038001,-0.28794,0.13156,-0.22063,0.26975,0.11253,-0.1916,-0.071267,-0.000652,-0.033382,0.074662,-0.005042,-0.034497,-0.12612,-0.36937,-0.05618,0.11839,-0.41464,-0.02516,-0.12946,-0.71457,-0.055594,0.12915,-0.74718,-0.062461
3,0.006024,0.75726,0.037115,-0.15951,0.4621,0.030221,-0.25095,0.29092,-0.07833,0.14904,0.46033,0.026226,0.24283,0.27652,-0.054384,-0.30194,0.16747,-0.25342,0.28754,0.14003,-0.22139,-0.071272,-0.000638,-0.033384,0.074915,-0.005057,-0.03423,-0.12663,-0.36529,-0.055712,0.11764,-0.41165,-0.024857,-0.12917,-0.71471,-0.054756,0.12903,-0.74725,-0.062236
4,0.005886,0.75759,0.041406,-0.15515,0.46607,0.028658,-0.26522,0.33383,-0.114,0.14646,0.46279,0.025975,0.2649,0.31265,-0.088539,-0.3417,0.25013,-0.30282,0.32648,0.23178,-0.28451,-0.071613,-0.000505,-0.032637,0.075308,-0.004656,-0.033285,-0.12707,-0.3619,-0.054227,0.11632,-0.40509,-0.023047,-0.12878,-0.71047,-0.051165,0.12714,-0.74737,-0.05699
5,0.005821,0.7572,0.043127,-0.15454,0.46639,0.028194,-0.29508,0.3932,-0.12896,0.14665,0.46298,0.025917,0.27198,0.3237,-0.095137,-0.35138,0.34514,-0.33679,0.35759,0.37399,-0.29113,-0.072326,-0.000358,-0.031218,0.07541,-0.004509,-0.033015,-0.12717,-0.36276,-0.05369,0.11599,-0.40412,-0.022702,-0.12845,-0.712,-0.050551,0.1257,-0.74814,-0.05585
6,0.004094,0.75632,0.045306,-0.15246,0.46967,0.026151,-0.30413,0.43224,-0.13246,0.14739,0.46708,0.026559,0.3031,0.40793,-0.13377,-0.36789,0.44243,-0.34289,0.35695,0.42368,-0.36174,-0.073363,0.001212,-0.028799,0.075686,-0.003289,-0.031708,-0.12633,-0.35946,-0.052287,0.11608,-0.39265,-0.021214,-0.12549,-0.7173,-0.052563,0.12762,-0.74769,-0.055975
7,0.004257,0.75684,0.045164,-0.15589,0.47266,0.026095,-0.29398,0.44522,-0.11427,0.15024,0.47263,0.02769,0.2887,0.41891,-0.10222,-0.35688,0.45967,-0.30731,0.34116,0.44812,-0.29179,-0.073368,0.003168,-0.029528,0.074875,-0.000787,-0.031439,-0.12636,-0.35978,-0.052556,0.1162,-0.3992,-0.021759,-0.12607,-0.718,-0.053265,0.12805,-0.7467,-0.056274
8,0.003996,0.75687,0.046371,-0.15576,0.47618,0.025233,-0.29785,0.47948,-0.11444,0.15024,0.47653,0.02769,0.29294,0.45369,-0.10276,-0.36151,0.52284,-0.30751,0.34405,0.51496,-0.29165,-0.073635,0.005037,-0.029209,0.074758,0.001211,-0.030945,-0.12639,-0.35934,-0.052058,0.11605,-0.39722,-0.021428,-0.12578,-0.71797,-0.053245,0.12804,-0.7467,-0.055974
9,0.003674,0.75691,0.046861,-0.15573,0.47982,0.024542,-0.29932,0.51234,-0.11451,0.14977,0.48099,0.027659,0.29404,0.49239,-0.10271,-0.36151,0.58422,-0.30751,0.34405,0.58067,-0.29165,-0.07387,0.007455,-0.029111,0.074636,0.003695,-0.030683,-0.1264,-0.35923,-0.051729,0.11605,-0.39597,-0.021428,-0.12554,-0.71797,-0.053109,0.12807,-0.74652,-0.055807
