FrameNo, head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
0,0.009197,0.74919,0.013044,-0.15035,0.45824,0.032341,-0.17865,0.20136,0.03369,0.16469,0.4543,0.027403,0.18285,0.2012,0.035392,-0.20378,0.000216,-0.041016,0.20003,-0.002497,-0.034105,-0.071114,0.000411,-0.03394,0.072564,-0.005961,-0.034117,-0.12531,-0.38725,-0.053155,0.10921,-0.42216,-0.034271,-0.13002,-0.74303,-0.057221,0.11411,-0.74389,-0.068902
1,0.009319,0.74921,0.013305,-0.15068,0.45796,0.032245,-0.17884,0.20128,0.033081,0.16401,0.45415,0.027833,0.1828,0.20062,0.033786,-0.20243,-0.000286,-0.040958,0.20004,-0.003428,-0.034514,-0.071534,0.000206,-0.033678,0.072255,-0.006161,-0.033954,-0.12561,-0.38889,-0.052432,0.10922,-0.42141,-0.034035,-0.13079,-0.74151,-0.056802,0.11411,-0.74369,-0.069231
2,0.009432,0.7491,0.013475,-0.15172,0.457,0.032162,-0.17928,0.20162,0.03237,0.16383,0.45383,0.028164,0.18271,0.20099,0.031835,-0.2016,0.001839,-0.047382,0.20055,-0.002649,-0.037687,-0.071668,0.000102,-0.03371,0.0721,-0.006319,-0.03403,-0.12562,-0.38888,-0.052433,0.10914,-0.4219,-0.033906,-0.13058,-0.74162,-0.057141,0.11418,-0.74406,-0.069181
3,0.009689,0.74906,0.013883,-0.15291,0.45648,0.032366,-0.18592,0.20483,0.024224,0.16353,0.4536,0.028448,0.1856,0.20437,0.023877,-0.2221,0.004355,-0.086285,0.2046,0.003269,-0.053331,-0.071963,0.000116,-0.033677,0.071837,-0.006371,-0.034029,-0.12571,-0.38878,-0.052337,0.10908,-0.42179,-0.03378,-0.13054,-0.74163,-0.057159,0.11367,-0.74476,-0.068962
4,0.009883,0.74912,0.015047,-0.15172,0.45716,0.032724,-0.19489,0.2186,0.011191,0.16293,0.45373,0.028955,0.19043,0.21504,0.011837,-0.23736,0.033199,-0.093629,0.22262,0.022312,-0.082344,-0.072008,0.000108,-0.033767,0.071752,-0.006469,-0.033785,-0.12589,-0.38827,-0.051985,0.109,-0.42165,-0.033658,-0.12993,-0.73971,-0.056985,0.11102,-0.74681,-0.068222
5,0.009837,0.74923,0.015852,-0.15218,0.45721,0.03254,-0.2036,0.2322,-0.001201,0.16281,0.45378,0.029244,0.19931,0.23134,0.001834,-0.24469,0.046367,-0.1059,0.22666,0.038398,-0.09372,-0.072049,6e-06,-0.033912,0.071867,-0.006748,-0.033329,-0.1265,-0.3867,-0.051212,0.10858,-0.42059,-0.033188,-0.12967,-0.73952,-0.057191,0.1111,-0.74683,-0.068205
6,0.011477,0.74797,0.022667,-0.15037,0.46053,0.032656,-0.25606,0.2954,-0.069498,0.16183,0.4553,0.023917,0.24151,0.27289,-0.072951,-0.31635,0.17049,-0.23918,0.28831,0.13434,-0.23623,-0.073845,0.000706,-0.03357,0.071288,-0.006794,-0.033255,-0.12925,-0.36905,-0.047718,0.10627,-0.41774,-0.031569,-0.13219,-0.74007,-0.053968,0.10649,-0.75028,-0.066109
7,0.010763,0.74854,0.024983,-0.14827,0.46273,0.031858,-0.25354,0.33212,-0.065367,0.15911,0.45893,0.024009,0.24874,0.31724,-0.073511,-0.3156,0.25014,-0.23475,0.29664,0.22316,-0.24048,-0.073942,0.001085,-0.03142,0.071827,-0.005785,-0.033083,-0.12761,-0.37344,-0.048185,0.10635,-0.41686,-0.03087,-0.13137,-0.74072,-0.053703,0.10921,-0.74722,-0.06684
8,0.01091,0.74849,0.027467,-0.14794,0.46429,0.031413,-0.26684,0.36495,-0.079789,0.15837,0.46123,0.02331,0.26201,0.34908,-0.089565,-0.33218,0.31547,-0.26004,0.31456,0.28556,-0.27196,-0.074367,0.001504,-0.030597,0.071817,-0.005388,-0.032832,-0.12787,-0.37083,-0.047413,0.10575,-0.41565,-0.03016,-0.13157,-0.74024,-0.052563,0.10863,-0.7473,-0.066481
9,0.011024,0.74847,0.029909,-0.14775,0.46611,0.030789,-0.27897,0.39895,-0.092436,0.15803,0.46395,0.022542,0.27487,0.38321,-0.10304,-0.34649,0.38281,-0.28105,0.32977,0.35052,-0.29514,-0.074753,0.002059,-0.02976,0.071798,-0.004799,-0.032514,-0.12812,-0.36811,-0.046658,0.10515,-0.41446,-0.029474,-0.13178,-0.73989,-0.051454,0.10832,-0.74736,-0.065936
