FrameNo, head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
0,-0.002366,0.71792,0.02153,-0.17629,0.52392,-0.011057,-0.31824,0.69732,-0.080538,0.18409,0.51253,-0.009556,0.32986,0.68976,-0.082824,-0.31111,0.91887,-0.11852,0.3406,0.92949,-0.12829,-0.076188,-0.002106,-0.035346,0.07796,-0.0036,-0.036053,-0.13274,-0.46825,-0.001513,0.11862,-0.46571,0.027678,-0.16291,-0.81771,0.062381,0.13402,-0.82979,0.074691
1,-0.002404,0.71787,0.021613,-0.17636,0.52383,-0.010838,-0.3185,0.69785,-0.080845,0.18411,0.5126,-0.009544,0.33005,0.68986,-0.082918,-0.31125,0.91854,-0.11901,0.34069,0.92903,-0.12887,-0.076253,-0.002254,-0.0351,0.077968,-0.003645,-0.036118,-0.13276,-0.46844,-0.00148,0.11867,-0.46572,0.027719,-0.16292,-0.8177,0.062498,0.13402,-0.82955,0.074742
2,-0.002496,0.71795,0.021891,-0.1763,0.52387,-0.01037,-0.31875,0.69473,-0.080193,0.18389,0.51229,-0.009195,0.32984,0.68841,-0.081984,-0.31162,0.91835,-0.11946,0.34075,0.92872,-0.12906,-0.076332,-0.002369,-0.034962,0.077927,-0.003774,-0.035892,-0.1328,-0.46857,-0.001453,0.11869,-0.46584,0.027953,-0.16295,-0.81777,0.062516,0.134,-0.82893,0.075035
3,-0.002513,0.71789,0.02191,-0.17631,0.52385,-0.01036,-0.31764,0.69151,-0.07907,0.18384,0.51219,-0.008983,0.32999,0.68755,-0.08195,-0.3117,0.91827,-0.11974,0.34084,0.92789,-0.1296,-0.076329,-0.002371,-0.03496,0.07793,-0.003801,-0.035859,-0.13283,-0.46857,-0.00145,0.11872,-0.46589,0.027887,-0.16299,-0.81786,0.06244,0.13405,-0.82891,0.075053
4,-0.00256,0.71786,0.022017,-0.17629,0.5235,-0.010156,-0.31736,0.69144,-0.079982,0.18369,0.51194,-0.008635,0.33046,0.6879,-0.082508,-0.31192,0.91808,-0.12031,0.34074,0.92726,-0.12996,-0.076675,-0.002477,-0.035139,0.077583,-0.003901,-0.035496,-0.13287,-0.46865,-0.00152,0.11879,-0.46602,0.027977,-0.16321,-0.81805,0.062457,0.1338,-0.82842,0.075209
5,-0.00254,0.71783,0.022384,-0.17652,0.52357,-0.00977,-0.31691,0.68971,-0.079197,0.18411,0.51209,-0.008491,0.33102,0.68861,-0.082484,-0.31203,0.91791,-0.12036,0.34078,0.92713,-0.13002,-0.07667,-0.002446,-0.035091,0.077582,-0.003844,-0.035442,-0.13288,-0.46865,-0.001516,0.11872,-0.46596,0.028033,-0.16303,-0.81829,0.062151,0.13364,-0.82779,0.075207
6,-0.002555,0.71775,0.02287,-0.17653,0.5235,-0.009474,-0.31776,0.69227,-0.080128,0.18441,0.51255,-0.008372,0.3313,0.68724,-0.082335,-0.3124,0.91762,-0.12001,0.34078,0.92713,-0.13004,-0.076709,-0.002467,-0.035025,0.077547,-0.003852,-0.035385,-0.13287,-0.46864,-0.001508,0.11872,-0.46594,0.028217,-0.16288,-0.81814,0.062196,0.13366,-0.82774,0.075315
7,-0.002438,0.71778,0.023538,-0.17648,0.52311,-0.008795,-0.31857,0.69568,-0.080944,0.18458,0.51219,-0.008074,0.33189,0.68521,-0.082782,-0.31249,0.91746,-0.1205,0.34126,0.92918,-0.13034,-0.076725,-0.002533,-0.034854,0.077505,-0.004011,-0.035207,-0.1329,-0.46861,-0.001505,0.11822,-0.46607,0.028639,-0.16318,-0.81791,0.062206,0.13387,-0.82794,0.075365
8,-0.002397,0.71776,0.023998,-0.17649,0.52294,-0.00845,-0.3187,0.69575,-0.081125,0.18483,0.51217,-0.007827,0.33233,0.68434,-0.08285,-0.31263,0.91729,-0.1207,0.34151,0.93015,-0.13051,-0.076789,-0.002568,-0.034755,0.07743,-0.004067,-0.035013,-0.13293,-0.46863,-0.001479,0.11809,-0.46613,0.028859,-0.16323,-0.81796,0.062175,0.13387,-0.82783,0.075423
9,-0.002341,0.71773,0.024449,-0.17649,0.52279,-0.008117,-0.31882,0.69583,-0.08135,0.18513,0.51217,-0.007611,0.33275,0.6834,-0.082929,-0.31274,0.91715,-0.1209,0.34179,0.93145,-0.13066,-0.076813,-0.002598,-0.034656,0.077398,-0.004121,-0.034853,-0.13295,-0.46864,-0.001445,0.11795,-0.46618,0.029093,-0.16328,-0.81801,0.062159,0.13388,-0.82776,0.075465
