FrameNo, head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
0,0.006534,0.7558,0.032306,-0.16555,0.4571,0.036713,-0.20293,0.24144,-0.023637,0.16167,0.45536,0.032567,0.20775,0.23878,-0.017748,-0.24775,0.067252,-0.14577,0.23273,0.067024,-0.14957,-0.071097,-0.000644,-0.033373,0.073812,-0.00488,-0.034308,-0.12138,-0.38276,-0.044101,0.11184,-0.4173,-0.021851,-0.12443,-0.73493,-0.047347,0.11178,-0.74269,-0.048452
1,0.006325,0.75491,0.039877,-0.15696,0.46475,0.035203,-0.24238,0.30244,-0.089703,0.15553,0.45788,0.027749,0.24443,0.28711,-0.081965,-0.29956,0.18897,-0.26802,0.27889,0.17136,-0.26506,-0.071016,-0.000276,-0.032787,0.074913,-0.004618,-0.031622,-0.12276,-0.36894,-0.041883,0.11056,-0.40935,-0.020224,-0.12433,-0.73067,-0.042985,0.1085,-0.74745,-0.04602
2,0.006202,0.7547,0.043073,-0.15347,0.46593,0.033646,-0.25894,0.3267,-0.10355,0.15636,0.45865,0.027593,0.25537,0.3132,-0.10875,-0.31833,0.2381,-0.29501,0.30414,0.23499,-0.30801,-0.071006,-0.00014,-0.03209,0.07514,-0.004449,-0.031303,-0.12285,-0.36802,-0.041492,0.11004,-0.40779,-0.019953,-0.12378,-0.73098,-0.041023,0.10743,-0.74772,-0.045457
3,0.006283,0.75464,0.044853,-0.15016,0.46709,0.03255,-0.26471,0.34834,-0.11655,0.15095,0.46276,0.027685,0.25541,0.32895,-0.11669,-0.32843,0.28101,-0.31519,0.30943,0.25288,-0.39486,-0.071096,-0.00033,-0.030709,0.075472,-0.004354,-0.031098,-0.12293,-0.36715,-0.040862,0.10916,-0.40819,-0.01957,-0.1238,-0.73055,-0.040954,0.10529,-0.74984,-0.042253
4,0.003717,0.76832,0.041208,-0.15051,0.48023,0.027901,-0.26918,0.38215,-0.13297,0.14774,0.47817,0.022767,0.27952,0.38716,-0.16006,-0.34505,0.33265,-0.33238,0.31564,0.31344,-0.36382,-0.070517,0.01237,-0.030269,0.076439,0.009274,-0.032132,-0.12025,-0.35382,-0.039022,0.1118,-0.3952,-0.017416,-0.11976,-0.71762,-0.037026,0.10963,-0.73625,-0.038639
5,0.00366,0.76841,0.04345,-0.15339,0.48058,0.028049,-0.28842,0.43691,-0.143,0.15405,0.47987,0.022853,0.28168,0.42896,-0.1572,-0.35351,0.43469,-0.36165,0.32073,0.4415,-0.37528,-0.070976,0.013545,-0.027096,0.076591,0.010159,-0.031564,-0.12017,-0.35205,-0.03794,0.11145,-0.39405,-0.016873,-0.11918,-0.71705,-0.034465,0.11035,-0.7355,-0.038665
6,0.00344,0.76829,0.045323,-0.15154,0.48686,0.026381,-0.29807,0.48328,-0.13937,0.15706,0.4817,0.022639,0.29466,0.49218,-0.15141,-0.3631,0.53105,-0.3656,0.32699,0.54433,-0.37036,-0.071419,0.01621,-0.024494,0.0767,0.011844,-0.030161,-0.12003,-0.35066,-0.037345,0.11108,-0.39405,-0.016434,-0.11861,-0.71917,-0.034207,0.10949,-0.7363,-0.037638
7,0.004014,0.76618,0.04552,-0.15137,0.48973,0.025703,-0.28187,0.50406,-0.11246,0.15503,0.49042,0.02402,0.27644,0.51383,-0.11941,-0.34291,0.56329,-0.30868,0.31027,0.57045,-0.31675,-0.071101,0.018592,-0.026004,0.076306,0.014652,-0.028947,-0.12049,-0.35773,-0.038012,0.11072,-0.39638,-0.017114,-0.12053,-0.72111,-0.036583,0.10945,-0.73694,-0.038695
8,0.003959,0.76764,0.045789,-0.15113,0.49551,0.024678,-0.28187,0.54111,-0.11246,0.15482,0.49694,0.02389,0.27764,0.55551,-0.11936,-0.34291,0.62899,-0.30868,0.31027,0.64103,-0.31675,-0.070997,0.022408,-0.025485,0.076364,0.018459,-0.028359,-0.12044,-0.35773,-0.037696,0.11054,-0.3952,-0.016959,-0.12046,-0.7202,-0.03616,0.10916,-0.73642,-0.038246
9,0.003957,0.76841,0.045824,-0.15109,0.50002,0.024269,-0.28191,0.57643,-0.11145,0.15461,0.50203,0.023882,0.27764,0.59156,-0.11928,-0.34309,0.69269,-0.30369,0.31005,0.70857,-0.31043,-0.070888,0.025131,-0.025088,0.076347,0.021045,-0.027884,-0.12038,-0.35766,-0.037643,0.11048,-0.3952,-0.016961,-0.12043,-0.71982,-0.036004,0.10916,-0.73642,-0.038246
