FrameNo, head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
43,-0.002104,0.77374,-0.005023,-0.17471,0.49996,-0.021773,-0.25851,0.30838,-0.058381,0.14628,0.49666,-0.032659,0.2577,0.30158,-0.086998,-0.29017,0.23041,-0.23052,0.23056,0.43519,-0.26125,-0.076508,-0.002167,-0.037953,0.075274,0.000111,-0.037341,-0.10105,-0.31623,0.001261,0.10727,-0.32782,0.006215,-0.10414,-0.64173,0.043895,0.12152,-0.64009,0.041195
44,-0.002657,0.77427,-0.002966,-0.17472,0.5002,-0.021024,-0.26791,0.31738,-0.067983,0.14693,0.49639,-0.032653,0.26338,0.31295,-0.096966,-0.3016,0.26565,-0.24698,0.23628,0.4501,-0.26806,-0.076663,-0.002062,-0.037594,0.075212,0.000157,-0.037328,-0.10097,-0.31631,0.001454,0.10728,-0.32795,0.006332,-0.10407,-0.64182,0.043874,0.12161,-0.64041,0.04114
45,-0.003303,0.77477,-0.000617,-0.17481,0.50037,-0.020452,-0.27775,0.3267,-0.077891,0.14759,0.49631,-0.032647,0.26894,0.32422,-0.10515,-0.31268,0.30469,-0.26227,0.24297,0.4681,-0.2744,-0.076843,-0.001943,-0.037173,0.075139,0.00021,-0.037316,-0.10089,-0.31643,0.001654,0.1073,-0.3281,0.006492,-0.104,-0.64182,0.043849,0.12165,-0.64092,0.041057
46,-0.004023,0.7753,0.002002,-0.17502,0.50054,-0.020263,-0.28813,0.33875,-0.08948,0.1483,0.49633,-0.032544,0.27508,0.33789,-0.11397,-0.32345,0.34414,-0.27519,0.25028,0.48773,-0.27986,-0.077039,-0.001826,-0.036745,0.075049,0.00027,-0.037294,-0.10081,-0.31651,0.001821,0.10733,-0.32837,0.006685,-0.10392,-0.64182,0.043824,0.12169,-0.64143,0.040964
47,-0.004746,0.77576,0.004524,-0.17538,0.50075,-0.020267,-0.29922,0.35245,-0.10212,0.14918,0.49633,-0.032364,0.28368,0.35596,-0.12618,-0.3337,0.38674,-0.28636,0.25799,0.51039,-0.28349,-0.077248,-0.001666,-0.036345,0.074922,0.000389,-0.037265,-0.10073,-0.31661,0.001971,0.10737,-0.32873,0.006889,-0.10385,-0.64182,0.043796,0.12172,-0.64194,0.040866
48,-0.005491,0.77621,0.006978,-0.17594,0.50108,-0.020272,-0.30986,0.36775,-0.11529,0.15016,0.49633,-0.032272,0.29153,0.37347,-0.13439,-0.34221,0.43115,-0.29449,0.26585,0.53618,-0.28593,-0.077493,-0.001425,-0.035948,0.074746,0.000586,-0.037226,-0.10066,-0.31671,0.002098,0.10742,-0.32911,0.007097,-0.10379,-0.64175,0.043732,0.12173,-0.64247,0.040762
49,-0.006268,0.77663,0.009396,-0.1766,0.50192,-0.020278,-0.31935,0.3893,-0.12611,0.15131,0.49681,-0.032078,0.29906,0.39355,-0.14159,-0.35118,0.47628,-0.29732,0.2737,0.56385,-0.28633,-0.077796,-0.00096,-0.035511,0.074472,0.000998,-0.03718,-0.1006,-0.31684,0.002235,0.10746,-0.32943,0.007339,-0.10375,-0.64176,0.043677,0.12175,-0.6427,0.040706
50,-0.007061,0.77708,0.011671,-0.17742,0.50315,-0.020457,-0.32789,0.41146,-0.13647,0.15255,0.49763,-0.032058,0.3053,0.4126,-0.14821,-0.36045,0.5252,-0.29866,0.28114,0.58873,-0.28626,-0.078103,-0.000212,-0.035115,0.074121,0.001662,-0.037149,-0.10054,-0.31689,0.002376,0.10751,-0.32974,0.007565,-0.10372,-0.64174,0.043612,0.12178,-0.64295,0.040637
51,-0.007853,0.7775,0.013817,-0.17817,0.50492,-0.020897,-0.33497,0.43714,-0.1453,0.15395,0.49885,-0.032045,0.31138,0.43181,-0.15437,-0.36454,0.57376,-0.2987,0.28897,0.61385,-0.28619,-0.078351,0.000889,-0.034944,0.073757,0.002632,-0.037122,-0.10048,-0.317,0.002503,0.10755,-0.32985,0.007793,-0.1037,-0.6418,0.043529,0.12181,-0.64295,0.04059
52,-0.008641,0.77792,0.015776,-0.17847,0.50732,-0.021392,-0.33674,0.46634,-0.14834,0.15551,0.50084,-0.031869,0.31603,0.45471,-0.15529,-0.36823,0.62167,-0.29873,0.29669,0.63922,-0.28612,-0.078466,0.002341,-0.034917,0.073412,0.004013,-0.037087,-0.10039,-0.31714,0.002617,0.10757,-0.32985,0.007973,-0.1037,-0.64188,0.043402,0.12185,-0.64295,0.040611
