timestamp_ms,classification,confidence,nose_3d_x,nose_3d_y,nose_3d_z,left_shoulder_3d_x,left_shoulder_3d_y,left_shoulder_3d_z,right_shoulder_3d_x,right_shoulder_3d_y,right_shoulder_3d_z,left_elbow_3d_x,left_elbow_3d_y,left_elbow_3d_z,right_elbow_3d_x,right_elbow_3d_y,right_elbow_3d_z,left_wrist_3d_x,left_wrist_3d_y,left_wrist_3d_z,right_wrist_3d_x,right_wrist_3d_y,right_wrist_3d_z,left_hip_3d_x,left_hip_3d_y,left_hip_3d_z,right_hip_3d_x,right_hip_3d_y,right_hip_3d_z,left_knee_3d_x,left_knee_3d_y,left_knee_3d_z,right_knee_3d_x,right_knee_3d_y,right_knee_3d_z,left_ankle_3d_x,left_ankle_3d_y,left_ankle_3d_z,right_ankle_3d_x,right_ankle_3d_y,right_ankle_3d_z
1776843392954,Deep,0.800,-0.0289,-0.5285,-0.2321,0.1310,-0.4591,-0.1241,-0.1904,-0.4441,-0.1087,0.1340,-0.4780,-0.3505,-0.2144,-0.4606,-0.3312,0.0110,-0.5485,-0.5212,-0.1799,-0.5886,-0.4848,0.1121,-0.0052,-0.0124,-0.1128,0.0046,0.0130,0.2489,0.1261,-0.3175,-0.2598,0.1927,-0.2863,0.1441,0.5154,-0.1624,-0.2090,0.5489,-0.1218
1776843393206,Invalid,0.700,0.0221,-0.2520,-0.5173,0.1320,-0.2804,-0.3194,-0.1375,-0.3092,-0.3285,0.0788,-0.1637,-0.2408,-0.1486,-0.2425,-0.3387,0.0552,-0.1070,-0.2374,-0.1209,-0.3035,-0.4089,0.1021,0.0021,-0.0026,-0.1032,-0.0028,0.0032,0.1826,0.3396,-0.0654,-0.2354,0.3754,-0.0689,0.1592,0.6708,0.0804,-0.2206,0.7086,0.0881
1776843393457,Invalid,0.700,0.0362,-0.1296,-0.5798,0.1468,-0.1714,-0.3868,-0.1362,-0.1709,-0.3767,0.0968,0.0626,-0.2970,-0.1530,0.0302,-0.3042,0.0535,0.2673,-0.2841,-0.1514,0.2384,-0.2842,0.1065,-0.0005,-0.0048,-0.1075,-0.0002,0.0056,0.1950,0.3678,-0.0672,-0.2348,0.3643,-0.0514,0.1593,0.6907,0.0677,-0.2082,0.7330,0.0815
1776843393709,Invalid,0.700,0.0378,-0.1715,-0.4943,0.1283,-0.2001,-0.3207,-0.1449,-0.2019,-0.3284,0.0643,-0.0526,-0.2419,-0.1452,-0.0199,-0.2686,0.0683,-0.0086,-0.2417,-0.1353,0.1259,-0.2735,0.1063,-0.0009,0.0003,-0.1074,0.0003,0.0004,0.1858,0.3334,-0.0445,-0.2256,0.3577,-0.0475,0.1619,0.7068,0.0828,-0.2084,0.7074,0.0908
1776843393955,Deep,0.800,0.0170,-0.5705,-0.1681,0.1699,-0.4646,-0.0781,-0.1561,-0.5065,-0.0694,0.1434,-0.4304,-0.2962,-0.1768,-0.5263,-0.2848,0.0478,-0.5099,-0.4590,-0.1215,-0.5991,-0.4337,0.1141,-0.0056,-0.0016,-0.1147,0.0052,0.0022,0.2925,0.1593,-0.2406,-0.2678,0.2539,-0.2507,0.1644,0.5383,-0.0967,-0.1762,0.5691,-0.0674
1776843394206,Deep,0.800,-0.0146,-0.5385,-0.2865,0.1595,-0.4417,-0.1631,-0.1576,-0.4366,-0.1555,0.0995,-0.4946,-0.3642,-0.1868,-0.5038,-0.3581,-0.0033,-0.6718,-0.5181,-0.1689,-0.7051,-0.4796,0.1120,-0.0070,-0.0078,-0.1128,0.0065,0.0083,0.2924,0.0139,-0.3374,-0.2285,0.0638,-0.3206,0.2049,0.3260,-0.1133,-0.1566,0.3282,-0.0830
1776843394457,Deep,0.800,-0.0216,-0.5435,-0.2505,0.1448,-0.4421,-0.1341,-0.1808,-0.4191,-0.1438,0.1269,-0.4828,-0.3633,-0.1970,-0.4651,-0.3894,0.0374,-0.6274,-0.5471,-0.1514,-0.6762,-0.5318,0.1105,-0.0046,-0.0087,-0.1113,0.0041,0.0093,0.3093,0.0044,-0.3370,-0.2353,0.0139,-0.3127,0.2095,0.2892,-0.1122,-0.1549,0.2790,-0.0582
1776843394704,Deep,0.800,-0.0294,-0.5492,-0.2065,0.1368,-0.4579,-0.1052,-0.1817,-0.4960,-0.0755,0.1194,-0.4306,-0.3009,-0.2010,-0.5301,-0.2687,0.0437,-0.5257,-0.4682,-0.1353,-0.6155,-0.4220,0.1134,-0.0046,-0.0093,-0.1141,0.0040,0.0098,0.2850,0.1844,-0.2413,-0.2747,0.2471,-0.2273,0.1679,0.5477,-0.0726,-0.2104,0.5846,-0.0354
1776843394953,Shallow,0.800,0.0225,-0.1713,-0.5362,0.1241,-0.2085,-0.3492,-0.1421,-0.2307,-0.3502,0.0706,-0.0670,-0.2667,-0.1487,-0.1809,-0.3309,0.0499,0.0076,-0.2639,-0.1282,-0.2523,-0.3767,0.1048,0.0015,-0.0066,-0.1059,-0.0026,0.0072,0.1909,0.3348,-0.0773,-0.2569,0.3723,-0.0720,0.1518,0.6854,0.0668,-0.2375,0.7094,0.0813
1776843395209,Invalid,0.700,0.0341,-0.1624,-0.6007,0.1377,-0.1758,-0.3911,-0.1374,-0.1789,-0.3725,0.0862,0.0349,-0.3079,-0.1535,0.0102,-0.2837,0.0535,0.1740,-0.3001,-0.1650,0.1570,-0.2471,0.1050,-0.0021,-0.0104,-0.1062,0.0013,0.0111,0.1881,0.3592,-0.0484,-0.1923,0.3641,-0.0305,0.1792,0.6900,0.0902,-0.1765,0.7179,0.1162
