FrameNo,nose_x,nose_y,nose_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_ankle_x,left_ankle_y,left_ankle_z,right_ankle_x,right_ankle_y,right_ankle_z
17,0.013891499999999998,0.7552635000000001,0.0517425,-0.1510805,0.45701349999999996,0.055627499999999996,-0.1767805,0.2087935,0.0536215,0.1660095,0.4530535,0.0688925,0.1861095,0.20531349999999998,0.0616115,-0.1966805,0.0023695,-0.020033500000000003,0.1946195,0.0012995000000000003,-0.022325499999999998,-0.0720015,0.0033705000000000002,0.0007225000000000009,0.0720015,-0.0033705000000000002,-0.0007225000000000009,-0.1299505,-0.3834765,-0.0167365,0.1098595,-0.4232165,0.0101305,-0.1398705,-0.7390565,-0.020928500000000003,0.1134095,-0.7438465,-0.013617499999999998
18,0.013868500000000002,0.7552645,0.050455,-0.1513335,0.4570145,0.055275,-0.1763335,0.2087945,0.052163,0.1663365,0.4530445,0.067645,0.1862165,0.2052745,0.060139,-0.1955535,0.0024684999999999993,-0.022377,0.1940965,0.0012545000000000004,-0.023282000000000004,-0.0721765,0.0033695,0.0006359999999999977,0.0721765,-0.0033695,-0.0006360000000000011,-0.1296435,-0.3847055,-0.018557000000000004,0.1104465,-0.4238055,0.007277999999999996,-0.1397035,-0.7406055,-0.023131,0.11361650000000001,-0.7442155,-0.015390000000000001
19,0.013886500000000003,0.7554584999999999,0.048960500000000004,-0.15157949999999998,0.4575085,0.0545795,-0.1758695,0.2092785,0.0504745,0.1667405,0.4532185,0.0662445,0.1863705,0.20545850000000002,0.0584605,-0.19397949999999997,0.0031685000000000003,-0.0249275,0.19362050000000003,0.0016844999999999994,-0.0244445,-0.0724085,0.0032754999999999998,0.0005255000000000017,0.0724085,-0.0032755,-0.0005254999999999982,-0.12925949999999997,-0.3863415,-0.0209175,0.1111405,-0.4245115,0.0038095000000000004,-0.1394895,-0.7422615,-0.0258315,0.1138705,-0.7446015,-0.017674500000000003
20,0.013926500000000001,0.7557585,0.046980999999999995,-0.15173350000000002,0.45816850000000003,0.053452,-0.17538350000000003,0.2098985,0.048326,0.1671765,0.4535885,0.064412,0.1865365,0.2058185,0.056334,-0.1921835,0.0033165,-0.028205,0.19316650000000002,0.002275499999999999,-0.026062000000000002,-0.0726485,0.0031915,0.0003130000000000008,0.0726485,-0.0031915000000000008,-0.0003130000000000008,-0.1288535,-0.3885515,-0.024031000000000004,0.1118865,-0.4252815,-0.00034400000000000056,-0.1393235,-0.7437015,-0.029432,0.1142065,-0.7448414999999999,-0.020463000000000002
21,0.013981000000000002,0.7562854999999999,0.044043,-0.15167899999999998,0.4591555,0.051475,-0.174889,0.21087550000000002,0.045085,0.16765100000000002,0.4541155,0.061801999999999996,0.186731,0.2065855,0.053280999999999995,-0.18997899999999998,0.0035045,-0.032543,0.192671,0.0032864999999999995,-0.028517999999999998,-0.07291700000000001,0.0031405,6.0999999999998555e-05,0.07291700000000001,-0.0031405000000000005,-6.0999999999998555e-05,-0.128459,-0.3910545,-0.028417,0.112681,-0.4243545,-0.0055130000000000005,-0.139199,-0.7451145,-0.034476999999999994,0.11463100000000001,-0.7448845000000001,-0.024477000000000002
22,0.014078,0.756572,0.040390499999999996,-0.15184399999999998,0.460142,0.048920500000000006,-0.174334,0.21193199999999998,0.0411055,0.16816599999999998,0.454412,0.0587655,0.18698599999999999,0.20760199999999998,0.0495555,-0.18792399999999998,0.003882,-0.0376055,0.192276,0.004594,-0.031892500000000004,-0.073209,0.0031019999999999997,-0.0002465000000000002,0.073209,-0.003102,0.0002465000000000002,-0.128064,-0.39345800000000003,-0.033751500000000004,0.113666,-0.422918,-0.011598500000000001,-0.13902399999999998,-0.746158,-0.04017949999999999,0.115096,-0.744618,-0.029562500000000002
23,0.014243499999999994,0.7567229999999999,0.036585999999999994,-0.15164650000000002,0.46110300000000004,0.045756,-0.17380650000000003,0.21306299999999997,0.037013,0.1686835,0.454463,0.055865,0.1872335,0.208703,0.045619,-0.18607649999999998,0.003971,-0.042895,0.19192349999999997,0.006076,-0.035792000000000004,-0.0735585,0.003069,-0.0004900000000000009,0.0735585,-0.003069,0.0004899999999999991,-0.12777650000000002,-0.39569699999999997,-0.039400000000000004,0.11466349999999999,-0.421257,-0.017816000000000002,-0.1387565,-0.746537,-0.045584,0.11565349999999999,-0.7441270000000001,-0.034967000000000005
24,0.0144675,0.75671,0.0326925,-0.15129350000000003,0.46195,0.0426255,-0.17326350000000001,0.21379,0.0327835,0.1691565,0.45438,0.0530085,0.18751649999999997,0.20985,0.0414505,-0.1845835,0.004591,-0.0482645,0.19190649999999998,0.007789,-0.039973499999999995,-0.0739075,0.003018,-0.0007895000000000003,0.0739075,-0.003018,0.0007895000000000003,-0.1275135,-0.39731999999999995,-0.0453635,0.1158565,-0.41933,-0.0248625,-0.13846350000000002,-0.74646,-0.0511375,0.1162365,-0.74329,-0.0404255
25,0.014673999999999994,0.756429,0.0287,-0.15113400000000002,0.462559,0.039602,-0.172794,0.215059,0.028207,0.16955599999999998,0.453989,0.049997,0.18769599999999997,0.211109,0.036989999999999995,-0.183454,0.006262,-0.053860000000000005,0.191846,0.009696,-0.044444,-0.074162,0.0029070000000000007,-0.0010740000000000003,0.074162,-0.002907,0.0010739999999999994,-0.12751400000000002,-0.397381,-0.052433999999999995,0.117006,-0.416611,-0.032388,-0.13826400000000003,-0.745181,-0.056841,0.116756,-0.741711,-0.046244999999999994
26,0.014842499999999998,0.755978,0.0247945,-0.1509475,0.462888,0.0361195,-0.1723875,0.21518800000000002,0.023089500000000002,0.1698925,0.45362800000000003,0.0469075,0.18780249999999998,0.212398,0.0323795,-0.1825975,0.006391000000000001,-0.0612805,0.1920625,0.011642,-0.049043500000000004,-0.0743695,0.0028060000000000003,-0.0014245,0.0743695,-0.0028060000000000003,0.0014245,-0.1276875,-0.396472,-0.060035500000000006,0.1181825,-0.413292,-0.040344500000000005,-0.1381375,-0.743352,-0.0629545,0.11712249999999999,-0.739512,-0.0522115
