r2,mae,mse
0.8144885325023532,0.0745375624979462,0.009225491162818664
0.7940679881703628,0.0723685660464506,0.009348604645080126
0.7593333623968086,0.07626152069595783,0.01025528323353196
0.8158520667715796,0.06642884228669452,0.00806556652131778
0.7741317490202821,0.07835073891960738,0.010444101134818915
0.8122023590879804,0.07346941653697474,0.009345720484632275
0.7947234815157393,0.07631740141027461,0.009589085676130408
0.7725635885978057,0.0816939753935127,0.01214496067748131
0.8220890684801355,0.06977959213553483,0.0090964706601792
0.7956640644877931,0.07746231752272485,0.010027942120705857
