,Mean_Error_cm
nose,3.187582
left_shoulder,3.8960495
left_elbow,0.27272493
right_shoulder,1.8986472
right_elbow,2.627015
left_wrist,4.813917
right_wrist,3.0624876
left_hip,3.2392511
right_hip,4.01752
left_knee,0.27279124
right_knee,1.9681555
left_ankle,2.596415
right_ankle,5.393637
