FrameNo,nose_3d_x,nose_3d_y,nose_3d_z,left_shoulder_3d_x,left_shoulder_3d_y,left_shoulder_3d_z,left_elbow_3d_x,left_elbow_3d_y,left_elbow_3d_z,right_shoulder_3d_x,right_shoulder_3d_y,right_shoulder_3d_z,right_elbow_3d_x,right_elbow_3d_y,right_elbow_3d_z,left_wrist_3d_x,left_wrist_3d_y,left_wrist_3d_z,right_wrist_3d_x,right_wrist_3d_y,right_wrist_3d_z,left_hip_3d_x,left_hip_3d_y,left_hip_3d_z,right_hip_3d_x,right_hip_3d_y,right_hip_3d_z,left_knee_3d_x,left_knee_3d_y,left_knee_3d_z,right_knee_3d_x,right_knee_3d_y,right_knee_3d_z,left_ankle_3d_x,left_ankle_3d_y,left_ankle_3d_z,right_ankle_3d_x,right_ankle_3d_y,right_ankle_3d_z,activity_label
10,-0.018457,0.762404,0.054307,-0.185311,0.480174,0.000599,-0.2254509999999999,0.224944,-0.023118,0.160099,0.476274,0.015124,0.198649,0.234214,0.021013,-0.201011,0.026066,-0.097587,0.107639,0.404074,-0.160277,-0.073084,-0.001549,0.001366,0.073084,0.001549,-0.0013659999999999,-0.100273,-0.334076,0.011037,0.100369,-0.341806,0.045764,-0.108801,-0.645136,0.044717,0.102999,-0.667616,0.068019,0
11,-0.0185289999999999,0.762424,0.0543935,-0.1853369999999999,0.480164,0.0006764999999999,-0.225457,0.224964,-0.0230845,0.160113,0.476304,0.0151534999999999,0.198643,0.234264,0.0205714999999999,-0.200917,0.025871,-0.0976695,0.107333,0.404104,-0.1602195,-0.073086,-0.00154,0.0013994999999999,0.073086,0.00154,-0.0013995,-0.100289,-0.334086,0.0110974999999999,0.100373,-0.341856,0.0457705,-0.108807,-0.6450260000000001,0.0447705,0.102963,-0.667586,0.0680725,0
12,-0.0186015,0.762483,0.0544884999999999,-0.1853795,0.480193,0.0007505,-0.2254894999999999,0.224993,-0.0230585,0.1601205,0.476333,0.0151875,0.1988405,0.234903,0.0199554999999999,-0.2008495,0.025726,-0.0977214999999999,0.1070705,0.404753,-0.1607215,-0.0730905,-0.001552,0.0014295,0.0730905,0.001552,-0.0014295,-0.1003115,-0.334077,0.0111584999999999,0.1003705,-0.341877,0.0458105,-0.1088195,-0.644897,0.0448525,0.1029305,-0.667527,0.0681205,0
13,-0.0186794999999999,0.7625445,0.054611,-0.1854195,0.4802245,0.0008459999999999,-0.2255395,0.2250144999999999,-0.0230249999999999,0.1600705,0.4762445,0.01517,0.1987205,0.2355344999999999,0.019705,-0.2008095,0.0256255,-0.0977309999999999,0.1069405,0.4053345,-0.161241,-0.0730995,-0.0015595,0.001465,0.0730995,0.0015595,-0.001465,-0.1003385,-0.3339955,0.011242,0.1003505,-0.3418355,0.04588,-0.1088394999999999,-0.6447355,0.04496,0.1029005,-0.6676555,0.068105,0
14,-0.018737,0.762608,0.0547179999999999,-0.18546,0.480248,0.0009239999999999,-0.22558,0.225018,-0.022994,0.16003,0.476178,0.0151369999999999,0.19851,0.236068,0.019398,-0.20082,0.025641,-0.097686,0.10685,0.4056579999999999,-0.161496,-0.073112,-0.001578,0.0015109999999999,0.073112,0.001578,-0.001511,-0.100351,-0.333932,0.0112989999999999,0.10035,-0.341782,0.045936,-0.10886,-0.644592,0.04505,0.10289,-0.667752,0.068075,0
15,-0.0187865,0.76266,0.0548145,-0.1854945,0.48028,0.0009895,-0.2256245,0.22505,-0.0229764999999999,0.1599954999999999,0.4759799999999999,0.0150945,0.1984955,0.23612,0.0190655,-0.2008645,0.025693,-0.0976504999999999,0.1068855,0.4058699999999999,-0.1618005,-0.0731255,-0.001594,0.0015535,0.0731255,0.001594,-0.0015534999999999,-0.1003715,-0.33389,0.0113495,0.1003355,-0.34173,0.0459785,-0.1088745,-0.6445099999999999,0.0451295,0.1028854999999999,-0.66782,0.0680515,0
16,-0.0188275,0.7627125,0.0548904999999999,-0.1855125,0.4803125,0.0010304999999999,-0.2256525,0.2250725,-0.0229675,0.1599575,0.4756825,0.0149974999999999,0.1977775,0.2357225,0.0191835,-0.2008925,0.0257555,-0.0976225,0.1068775,0.4057625,-0.1618325,-0.0731375,-0.0016095,0.0015814999999999,0.0731375,0.0016095,-0.0015814999999999,-0.1003894999999999,-0.3338275,0.0113664999999999,0.1003375,-0.3416775,0.0460075,-0.1088825,-0.6444075,0.0451925,0.1028874999999999,-0.6678775,0.0680245,0
17,-0.0188564999999999,0.7627865,0.0549439999999999,-0.1854805,0.4803565,0.0010459999999999,-0.2256705,0.2250865,-0.022968,0.1598995,0.4753565,0.0148809999999999,0.1982495,0.2363964999999999,0.0188749999999999,-0.2009205,0.0258295,-0.097612,0.1069595,0.4061565,-0.162272,-0.0731425,-0.0016255,0.0015949999999999,0.0731425,0.0016255,-0.0015949999999999,-0.1003995,-0.3338035,0.0113869999999999,0.1003495,-0.3416134999999999,0.04602,-0.1088905,-0.6443335,0.045251,0.1028795,-0.6679435,0.067977,0
18,-0.0188819999999999,0.7628634999999999,0.0549965,-0.185435,0.4804235,0.0010635,-0.225685,0.2251034999999999,-0.0229754999999999,0.159825,0.4750435,0.0147465,0.1981149999999999,0.2364834999999999,0.0190015,-0.200945,0.0259475,-0.0975924999999999,0.1070349999999999,0.4062335,-0.1621524999999999,-0.0731499999999999,-0.0016324999999999,0.0016115,0.0731499999999999,0.0016325,-0.0016114999999999,-0.10041,-0.3337564999999999,0.0113995,0.100355,-0.3415065,0.0460465,-0.108905,-0.6442465,0.0453365,0.102885,-0.6679965,0.0679345,0
19,-0.018909,0.7629915,0.055074,-0.185402,0.4805415,0.0010999999999999,-0.225692,0.2250915,-0.02299,0.159688,0.4748815,0.0145319999999999,0.198098,0.2370515,0.0184699999999999,-0.200972,0.0261265,-0.09755,0.106918,0.4055915,-0.16213,-0.07316,-0.0016415,0.0016289999999999,0.07316,0.0016415,-0.001629,-0.100422,-0.3336485,0.0114349999999999,0.100358,-0.3413585,0.0460939999999999,-0.108922,-0.6440985,0.045471,0.102898,-0.6680385,0.06791,0
