fold,MSE,MAE,RMSE
1,0.3078441619873047,0.43648937344551086,0.5548370589527205
2,0.18386541306972504,0.31673431396484375,0.4287953043932793
3,0.1088097020983696,0.2740529179573059,0.32986315662463667
4,0.2868954539299011,0.45285412669181824,0.535626225954164
5,0.17860640585422516,0.35079237818717957,0.4226185110169988
6,0.2707568407058716,0.4518279731273651,0.520343002937362
7,0.21510690450668335,0.38702985644340515,0.46379618854264354
8,0.18374964594841003,0.37223783135414124,0.4286602920126963
9,0.2029070258140564,0.33918794989585876,0.45045202387607985
10,0.09920559823513031,0.2604043185710907,0.31496920204224776
