fold,MSE,MAE,RMSE
1,0.29982390999794006,0.4400300979614258,0.5475617864660938
2,0.15201665461063385,0.3312567174434662,0.38989313229477873
3,0.1464182734489441,0.29617902636528015,0.38264640786102266
4,0.2377852350473404,0.4434370696544647,0.487632274411098
5,0.3584943413734436,0.48494264483451843,0.5987439698013197
6,0.3720914423465729,0.48284202814102173,0.6099929854896472
7,0.24500492215156555,0.37221094965934753,0.4949797189295391
8,0.17992085218429565,0.386922150850296,0.4241707818606742
9,0.18314504623413086,0.299992173910141,0.42795449084468185
10,0.11598427593708038,0.2712917923927307,0.3405646428170141
