train_mse,val_mse,train_mae,val_mae
0.019349350729398983,0.011031114014194291,0.09646095902567801,0.0707781520398224
0.009151562968219246,0.008691245514680358,0.06421637347172558,0.061491434100796195
0.00689078034081383,0.006756793241947889,0.055459411134971,0.055126445126884124
0.005684115356718707,0.0054250524762798754,0.05047628427206232,0.04869370684027672
0.004977102738249638,0.004587448248639703,0.047304747377464255,0.04528036739896325
0.004331261823257813,0.004059049013235113,0.04429680288103285,0.0425011908306795
0.0038625095923948004,0.003629932229352348,0.04167296236673873,0.03999148484538583
0.003544110976828356,0.003394894564852995,0.03984341087256412,0.038822887706405976
0.0032852017334510384,0.003118650185163407,0.038369633334768984,0.03687682355589726
0.0029834245700521797,0.003219225906821735,0.03646134232510799,0.03813260263379882
0.0027321349754819,0.0026213335147237077,0.034756771164451576,0.033541124270242806
0.0025069458428797937,0.0023815476842334164,0.03324513221905741,0.03226825478760635
0.0022486202250917384,0.0021825770012048238,0.031329203761826636,0.03051756767227369
0.002124787562869445,0.0020068753455929895,0.030446023998080093,0.029209279466201277
0.001928853913616577,0.001958191949490677,0.028880570968198495,0.02890034300439498
0.0017661429383413374,0.001664849359761266,0.027547956004915677,0.026344633496859494
0.0016363162335936942,0.0015843800214283606,0.02639357361511413,0.025753538726883775
0.0014571211589583216,0.0016174224876415203,0.024693172657171414,0.026163996493115144
0.0013705679690133702,0.0013479371014160706,0.023915370373547254,0.023497391229166702
0.0012705707774036052,0.0012373297831372303,0.02289234837986949,0.022330319859525737
0.0011800817455419337,0.0011407345684026095,0.021931725501660424,0.02125774238477735
0.001105600133405595,0.001296365525409141,0.021179462266251312,0.023216397665879306
0.0010452249748231595,0.001063803886748193,0.020494755407248124,0.020655163289869532
0.0009939801225988664,0.0010587796041577617,0.019936213059798546,0.020572233769823523
0.0009634695003757071,0.0009589380105299984,0.01959518204479083,0.01929501325768583
0.0008933027836256481,0.0010689882691675688,0.01870819208286813,0.02089497830499621
0.000879876799909094,0.000855081739342388,0.018610574072917774,0.01808110558811356
0.0008213227324240264,0.0008562051163821975,0.01783710710969629,0.018436032577472575
0.0007830476968684607,0.0007993195705827983,0.017352002299769343,0.017608846756903565
0.0008776317831081855,0.0007506010423907462,0.0184166522403676,0.016641481406986715
0.0007205093377069446,0.0007216813415973721,0.016446285314570548,0.016328051773940817
0.0006899279755580264,0.0007277276161510278,0.016029066610694462,0.01645998260115876
0.0006716178741529915,0.0007064743313308367,0.015840527397036022,0.016121636254384238
0.0006427438750045059,0.0006423352070508854,0.015416103210687107,0.015252348440973198
0.0006356209680439424,0.0007700513445717447,0.015378678576794152,0.01768436579800704
0.0006477999256872669,0.0005987242901670363,0.01567127390347355,0.014562054679674261
0.0005750418908393856,0.0006186717145336682,0.014409813336276335,0.015127820116193855
0.0005687970306395445,0.0005948740352109512,0.014423327070028032,0.014849304846104453
0.0005626255818725582,0.0005299259566099329,0.01436565271150376,0.013394437489264152
0.0005300139811598815,0.000550010589444462,0.013848955939228174,0.014125262146048687
0.0005152034853931892,0.0005744638530920972,0.01364849855465599,0.014636317837764236
0.00049453440358246,0.0005224032375468489,0.013338315228790663,0.013609145735116566
0.0004765405386993081,0.0004928539750193629,0.013061045213030425,0.013163352790562546
0.00045912911547541353,0.00045656162820866,0.01277874783234179,0.012527908943593503
0.00045911781403487574,0.00044969324440257075,0.012921769431728637,0.01243881904246176
0.00042757141049426235,0.0004541734990198165,0.012271779641862792,0.012798958041650408
0.000435514653046983,0.00044228877420263255,0.012566472870748191,0.012613868822946269
0.0004099603814559295,0.00040995983153526837,0.01205946692163318,0.01184330883928958
0.00039189666824329656,0.00042492775006822364,0.011707954034098708,0.01225289377000402
0.00039967964368786674,0.00044237320304519554,0.012040254618497207,0.012748632021248341
