filename,start_off,stop_off,total_off
A148_kinect.csv,16.0,3.0,19.0
A151_kinect.csv,11.0,10.0,21.0
A154_kinect.csv,12.0,9.0,21.0
A155_kinect.csv,10.0,8.0,18.0
A15_kinect.csv,8.0,19.0,27.0
A38_kinect.csv,5.0,2.0,7.0
A55_kinect.csv,2.0,19.0,21.0
A76_kinect.csv,30.0,0.0,30.0
A90_kinect.csv,30.0,45.0,75.0
B13_kinect.csv,3.0,2.0,5.0
B18_kinect.csv,1.0,4.0,5.0
B21_kinect.csv,12.0,3.0,15.0
B7_kinect.csv,2.0,5.0,7.0
A114_kinect.csv,0.0,6.0,6.0
A11_kinect.csv,6.0,4.0,10.0
A14_kinect.csv,50.0,6.0,56.0
A22_kinect.csv,8.0,14.0,22.0
A25_kinect.csv,2.0,10.0,12.0
A37_kinect.csv,4.0,3.0,7.0
A41_kinect.csv,5.0,5.0,10.0
A48_kinect.csv,4.0,6.0,10.0
A50_kinect.csv,33.0,0.0,33.0
A51_kinect.csv,4.0,14.0,18.0
A54_kinect.csv,16.0,2.0,18.0
A64_kinect.csv,15.0,2.0,17.0
A69_kinect.csv,9.0,3.0,12.0
A77_kinect.csv,12.0,28.0,40.0
A94_kinect.csv,47.0,3.0,50.0
A96_kinect.csv,1.0,0.0,1.0
B9_kinect.csv,1.0,4.0,5.0
