FrameNo,nose_3d_x,nose_3d_y,nose_3d_z,left_shoulder_3d_x,left_shoulder_3d_y,left_shoulder_3d_z,left_elbow_3d_x,left_elbow_3d_y,left_elbow_3d_z,right_shoulder_3d_x,right_shoulder_3d_y,right_shoulder_3d_z,right_elbow_3d_x,right_elbow_3d_y,right_elbow_3d_z,left_wrist_3d_x,left_wrist_3d_y,left_wrist_3d_z,right_wrist_3d_x,right_wrist_3d_y,right_wrist_3d_z,left_hip_3d_x,left_hip_3d_y,left_hip_3d_z,right_hip_3d_x,right_hip_3d_y,right_hip_3d_z,left_knee_3d_x,left_knee_3d_y,left_knee_3d_z,right_knee_3d_x,right_knee_3d_y,right_knee_3d_z,left_ankle_3d_x,left_ankle_3d_y,left_ankle_3d_z,right_ankle_3d_x,right_ankle_3d_y,right_ankle_3d_z,activity_label
0,-0.0231644999999999,0.7098025,-0.0061734999999999,-0.1796615,0.5609225,0.0463515,-0.2796315,0.7271225,-0.0674095,0.1483985,0.5479425,0.0259015,0.2311085,0.7351424999999999,-0.0631684999999999,-0.2991815,0.9080025,-0.1527995,0.2494185,0.9446125,-0.1265695,-0.0729215,-0.0016855,0.0004624999999999,0.0729215,0.0016854999999999,-0.0004624999999999,-0.0931645,-0.3532975,0.0080065,0.1083585,-0.3489575,0.0062425,-0.0986755,-0.8270675000000001,0.0534385,0.1454585,-0.8452975,0.0553065,0
1,-0.0226654999999999,0.7113845,-0.0040999999999999,-0.1800415,0.5599045,0.046004,-0.2797015,0.7265245,-0.067361,0.1490885,0.5484045,0.026758,0.2314385,0.7352345,-0.06364,-0.3007615,0.9278445,-0.155881,0.2493285,0.9447445,-0.126981,-0.0727474999999999,-0.0012955,0.0004159999999999,0.0727474999999999,0.0012955,-0.0004159999999999,-0.0935635,-0.3529355,0.0076719999999999,0.1082984999999999,-0.3494355,0.005652,-0.0999355,-0.8273455000000001,0.053308,0.1456485,-0.8472555,0.057235,0
2,-0.021393,0.7143065,-0.0012414999999999,-0.1796809999999999,0.5603665,0.0456955,-0.2785809999999999,0.7278965,-0.0668464999999999,0.148999,0.5475665,0.0260375,0.2313489999999999,0.7347665,-0.0634295,-0.300921,0.9287265,-0.1562665,0.249519,0.9443865,-0.1262464999999999,-0.072571,-0.0012855,0.0001655,0.072571,0.0012855,-0.0001654999999999,-0.09373,-0.3528635,0.0077135,0.1080489999999999,-0.3494535,0.0059095,-0.100204,-0.8269635000000001,0.0538545,0.1450989999999999,-0.8462135000000001,0.0579365,0
3,-0.019061,0.717087,0.0028599999999999,-0.178619,0.560207,0.0453829999999999,-0.276379,0.729017,-0.066066,0.149071,0.546667,0.0258319999999999,0.231661,0.734097,-0.062748,-0.300879,0.911487,-0.151776,0.2503809999999999,0.943877,-0.124676,-0.072703,-0.001096,0.0001559999999999,0.072703,0.001096,-0.000156,-0.092667,-0.352773,0.0075739999999999,0.108641,-0.349553,0.0062139999999999,-0.10018,-0.827843,0.054476,0.145761,-0.8452230000000001,0.0567059999999999,0
4,-0.0184479999999999,0.7175845,0.0042885,-0.178614,0.5599545,0.0457525,-0.275744,0.7292645,-0.0654225,0.149026,0.5459145,0.0261085,0.231426,0.7335845,-0.0620465,-0.302374,0.9299745,-0.1537224999999999,0.251616,0.9431745,-0.1242125,-0.072576,-0.0009855,0.0001574999999999,0.072576,0.0009855,-0.0001574999999999,-0.092871,-0.3526155,0.0078835,0.109576,-0.3496555,0.0055105,-0.100366,-0.8286855,0.0548335,0.145546,-0.8447055,0.0573585,0
5,-0.0177489999999999,0.7180179999999999,0.0061639999999999,-0.178251,0.559558,0.0459549999999999,-0.275091,0.729408,-0.064561,0.151209,0.5478679999999999,0.0277359999999999,0.232669,0.7353879999999999,-0.061849,-0.302471,0.929908,-0.153121,0.2522589999999999,0.945098,-0.1237009999999999,-0.0726469999999999,-0.001158,0.000591,0.0726469999999999,0.001158,-0.000591,-0.093116,-0.352772,0.008378,0.1093389999999999,-0.349462,0.0055739999999999,-0.1005699999999999,-0.829102,0.0558,0.145309,-0.8449720000000001,0.05859,1
6,-0.0171959999999999,0.7183515,0.0088165,-0.177591,0.5601815,0.0467725,-0.274581,0.7302215,-0.0632165,0.151199,0.5472115000000001,0.0292695,0.232929,0.7348415,-0.0597484999999999,-0.301401,0.9091815,-0.1501665,0.253069,0.9444815,-0.1216565,-0.072792,-0.0008275,-0.0005734999999999,0.072792,0.0008275,0.0005735,-0.093024,-0.3522685,0.0087305,0.109439,-0.3497584999999999,0.0070615,-0.100826,-0.8294385,0.0574575,0.145249,-0.8449585,0.0610985,1
7,-0.0164055,0.7189194999999999,0.010147,-0.1772445,0.5598894999999999,0.047328,-0.2740645,0.7301795,-0.062521,0.1512655,0.5465194999999999,0.029345,0.2336955,0.7338295,-0.05909,-0.3005045,0.9089195,-0.148261,0.2547555,0.9434895,-0.120611,-0.0725665,-0.0006554999999999,-0.000195,0.0725665,0.0006554999999999,0.000195,-0.0930965,-0.3520405,0.0093759999999999,0.1088955,-0.3497305,0.007564,-0.1003295,-0.8291005,0.058525,0.1452455,-0.8471405000000001,0.061091,1
8,-0.015817,0.719378,0.0118424999999999,-0.1769099999999999,0.559888,0.0478615,-0.27358,0.730508,-0.0614735,0.1516,0.546408,0.0301335,0.2342,0.733678,-0.0580475,-0.30032,0.908638,-0.1470035,0.2558399999999999,0.943338,-0.1193635,-0.072526,-0.000533,-0.0001265,0.072526,0.000533,0.0001265,-0.093129,-0.351852,0.0099455,0.10887,-0.349752,0.0080135,-0.100382,-0.829072,0.0597405,0.14519,-0.847302,0.0625045,1
9,-0.0152855,0.7198035,0.0135055,-0.1765805,0.5599235,0.0484675,-0.2730905,0.7307935000000001,-0.0604834999999999,0.1519495,0.5461735000000001,0.0310135,0.2347894999999999,0.7334835000000001,-0.0569684999999999,-0.2999705,0.9060435,-0.1453935,0.2568595,0.9431535,-0.1180034999999999,-0.0724915,-0.0004285,-3.949999999999787e-05,0.0724915,0.0004285,3.950000000000481e-05,-0.0931615,-0.3516665,0.0105905,0.1088295,-0.3497865,0.0085445,-0.1003265,-0.8290765,0.0610495,0.1451194999999999,-0.8472464999999999,0.0637575,1
