FrameNo,nose_3d_x,nose_3d_y,nose_3d_z,left_shoulder_3d_x,left_shoulder_3d_y,left_shoulder_3d_z,left_elbow_3d_x,left_elbow_3d_y,left_elbow_3d_z,right_shoulder_3d_x,right_shoulder_3d_y,right_shoulder_3d_z,right_elbow_3d_x,right_elbow_3d_y,right_elbow_3d_z,left_wrist_3d_x,left_wrist_3d_y,left_wrist_3d_z,right_wrist_3d_x,right_wrist_3d_y,right_wrist_3d_z,left_hip_3d_x,left_hip_3d_y,left_hip_3d_z,right_hip_3d_x,right_hip_3d_y,right_hip_3d_z,left_knee_3d_x,left_knee_3d_y,left_knee_3d_z,right_knee_3d_x,right_knee_3d_y,right_knee_3d_z,left_ankle_3d_x,left_ankle_3d_y,left_ankle_3d_z,right_ankle_3d_x,right_ankle_3d_y,right_ankle_3d_z,activity_label
0,-0.046028,0.7227085,-0.0241325,-0.212563,0.5045084999999999,-0.0048735,-0.4436529999999999,0.6138484999999999,-0.0626684999999999,0.157387,0.5074884999999999,-0.0218244999999999,0.362307,0.6246185,-0.1247895,-0.529933,0.8553084999999999,-0.1569095,0.453017,0.8339785,-0.2395295,-0.077721,-0.0034895,0.0009745,0.077721,0.0034895,-0.0009745,-0.152993,-0.4449615,0.0328905,0.1744069999999999,-0.4475814999999999,0.0403845,-0.231573,-0.8513315,0.0731425,0.266327,-0.8513615,0.0848065,0
1,-0.042903,0.7213745,-0.0234875,-0.212434,0.5052745,-0.0077025,-0.4402939999999999,0.6513245,-0.0748425,0.1590659999999999,0.5108644999999999,-0.0199565,0.365236,0.6515345,-0.1185125,-0.5023340000000001,0.9166345,-0.1421525,0.4407759999999999,0.8516144999999999,-0.2179025,-0.077582,-0.0034505,-7.500000000000562e-06,0.077582,0.0034505,7.500000000000562e-06,-0.152964,-0.4478655,0.0327055,0.173686,-0.4490155,0.0416394999999999,-0.231694,-0.8545455000000001,0.0730995,0.2665459999999999,-0.8537055,0.0844475,0
2,-0.0412554999999999,0.7202784999999999,-0.0230524999999999,-0.2112204999999999,0.5064784999999999,-0.0114744999999999,-0.4330905,0.6507585,-0.0749124999999999,0.1602795,0.5116785,-0.0187434999999999,0.3626695,0.6567185,-0.1122124999999999,-0.4922105,0.9213185,-0.1374625,0.4278194999999999,0.8907085,-0.1952525,-0.0775915,-0.0027834999999999,-0.0009474999999999,0.0775915,0.0027835,0.0009475,-0.1530004999999999,-0.4485015,0.0333175,0.1738595,-0.4506115,0.0428015,-0.2313905,-0.8561515000000001,0.0738655,0.2667795,-0.8553415,0.0848395,0
3,-0.038717,0.720345,-0.0223609999999999,-0.210589,0.5076050000000001,-0.0121539999999999,-0.427529,0.653605,-0.074238,0.161061,0.511895,-0.0170319999999999,0.360171,0.666425,-0.1018579999999999,-0.465259,0.937845,-0.124568,0.420491,0.898155,-0.180218,-0.077463,-0.0024879999999999,-0.0018269999999999,0.077463,0.002488,0.001827,-0.153459,-0.450835,0.034419,0.173821,-0.452565,0.044339,-0.231169,-0.858445,0.075126,0.266591,-0.8570949999999999,0.08624,0
4,-0.0365255,0.719673,-0.021788,-0.2091205,0.510053,-0.012527,-0.4207105,0.6609229999999999,-0.074556,0.1624395,0.512663,-0.0149709999999999,0.3567495,0.673233,-0.092186,-0.4608505,0.936833,-0.121196,0.4118995,0.918273,-0.157156,-0.0772835,-0.002342,-0.002194,0.0772835,0.0023419999999999,0.002194,-0.1536005,-0.453267,0.035496,0.1739395,-0.4534269999999999,0.045637,-0.2308805,-0.860267,0.076133,0.2661395,-0.857947,0.087871,0
5,-0.0337745,0.717231,-0.0183495,-0.2063535,0.5098309999999999,-0.0122515,-0.4134735,0.662551,-0.0730825,0.1652064999999999,0.5145609999999999,-0.0090685,0.3519065,0.683191,-0.0743525,-0.4512335,0.935621,-0.1191924999999999,0.4059965,0.924381,-0.1355025,-0.0770795,-0.001852,-0.0034295,0.0770795,0.0018519999999999,0.0034294999999999,-0.1531435,-0.456069,0.0371025,0.1742965,-0.4550789999999999,0.0478564999999999,-0.2303835,-0.8637090000000001,0.0785714999999999,0.2660065,-0.859589,0.0908605,0
6,-0.033405,0.7160915,-0.016277,-0.205705,0.5096415,-0.0108289999999999,-0.407345,0.6644915,-0.073375,0.165795,0.5145415,-0.0062009999999999,0.350045,0.6848215,-0.068615,-0.446065,0.9324915,-0.119005,0.404135,0.9296515,-0.127305,-0.0769519999999999,-0.0017925,-0.003976,0.0769519999999999,0.0017925,0.003976,-0.153315,-0.4566385,0.037397,0.173765,-0.4558485,0.048931,-0.229895,-0.8644085,0.080641,0.265655,-0.8587684999999999,0.092183,0
7,-0.0338315,0.7174455,-0.01371,-0.2062545,0.5096755,-0.0099329999999999,-0.4090945,0.6636654999999999,-0.0733379999999999,0.1654455,0.5151855,-0.0043619999999999,0.3491855,0.6838755,-0.067778,-0.4470745,0.9300555,-0.1244579999999999,0.4059155,0.9270855,-0.128308,-0.0766995,-0.0019625,-0.003992,0.0766995,0.0019625,0.003992,-0.1537744999999999,-0.4563245,0.037539,0.1732155,-0.4558645,0.048785,-0.2306544999999999,-0.8636245,0.081195,0.2650955,-0.8599145,0.092973,0
8,-0.032992,0.7170865,-0.0116949999999999,-0.205529,0.5098864999999999,-0.009312,-0.405919,0.6651265,-0.073214,0.166451,0.5161764999999999,-0.001242,0.347261,0.6865865,-0.061664,-0.443949,0.9290265,-0.122974,0.4040109999999999,0.9313065,-0.119434,-0.076605,-0.0018774999999999,-0.004498,0.076605,0.0018775,0.004498,-0.153839,-0.4572135,0.037961,0.173061,-0.4565935,0.049932,-0.230629,-0.8647335,0.082385,0.264791,-0.8604835000000001,0.094264,0
9,-0.032366,0.7168300000000001,-0.0097575,-0.20491,0.50981,-0.0085405,-0.4033799999999999,0.6658000000000001,-0.0730245,0.1673,0.51708,0.0018064999999999,0.34572,0.6886,-0.0563545,-0.44127,0.92816,-0.1215245,0.40342,0.93327,-0.1128445,-0.076573,-0.0018219999999999,-0.0048865,0.076573,0.001822,0.0048864999999999,-0.15386,-0.4579,0.0383094999999999,0.17292,-0.45722,0.0508475,-0.23067,-0.86564,0.0835455,0.26455,-0.8609899999999999,0.0955475,0
