FrameNo,nose_3d_x,nose_3d_y,nose_3d_z,left_shoulder_3d_x,left_shoulder_3d_y,left_shoulder_3d_z,left_elbow_3d_x,left_elbow_3d_y,left_elbow_3d_z,right_shoulder_3d_x,right_shoulder_3d_y,right_shoulder_3d_z,right_elbow_3d_x,right_elbow_3d_y,right_elbow_3d_z,left_wrist_3d_x,left_wrist_3d_y,left_wrist_3d_z,right_wrist_3d_x,right_wrist_3d_y,right_wrist_3d_z,left_hip_3d_x,left_hip_3d_y,left_hip_3d_z,right_hip_3d_x,right_hip_3d_y,right_hip_3d_z,left_knee_3d_x,left_knee_3d_y,left_knee_3d_z,right_knee_3d_x,right_knee_3d_y,right_knee_3d_z,left_ankle_3d_x,left_ankle_3d_y,left_ankle_3d_z,right_ankle_3d_x,right_ankle_3d_y,right_ankle_3d_z,activity_label
0,-0.0374074999999999,0.76911,0.0386144999999999,-0.2012775,0.50497,0.0227404999999999,-0.2462375,0.26081,0.0183494999999999,0.1422725,0.504,0.0094754999999999,0.2013625,0.23402,0.0008634999999999,-0.2261274999999999,0.0230919999999999,-0.0679225,0.2061025,0.0206939999999999,-0.0787525,-0.0619065,-0.003448,-0.0013245,0.0619065,0.003448,0.0013244999999999,-0.1240575,-0.35918,-0.0067645,0.1185725,-0.35073,0.0094644999999999,-0.1732874999999999,-0.85776,0.0359484999999999,0.1884325,-0.87744,0.0250714999999999,0
1,-0.039956,0.7688805,0.040196,-0.202898,0.5042805,0.02362,-0.247138,0.2599605,0.018845,0.140652,0.5044105,0.010547,0.200622,0.2344605,0.0019979999999999,-0.226198,0.0223435,-0.067893,0.205832,0.0212395,-0.078543,-0.06188,-0.0036544999999999,-0.0012959999999999,0.06188,0.0036544999999999,0.0012959999999999,-0.122808,-0.3595795,-0.0075889999999999,0.118972,-0.3508394999999999,0.005916,-0.165668,-0.8580795,0.040237,0.172322,-0.8800095,0.0389,0
2,-0.0399015,0.768834,0.0396655,-0.2028595,0.504344,0.0232785,-0.2471594999999999,0.259864,0.0187635,0.1406704999999999,0.504374,0.0104365,0.2006204999999999,0.234974,0.0022175,-0.2263695,0.022674,-0.0678975,0.2058705,0.021558,-0.0786075,-0.0618635,-0.003679,-0.0012775,0.0618635,0.003679,0.0012775,-0.1228095,-0.359616,-0.0076335,0.1189905,-0.3508059999999999,0.0058855,-0.1650495,-0.858206,0.0398375,0.1804505,-0.8794259999999999,0.0320735,0
3,-0.039784,0.7687275,0.03931,-0.202657,0.5043775,0.023063,-0.247197,0.2599875,0.018549,0.140883,0.5043675000000001,0.010442,0.200683,0.2349175,0.0022289999999999,-0.226837,0.0243875,-0.067472,0.205933,0.0217845,-0.078712,-0.06182,-0.0037095,-0.00136,0.06182,0.0037095,0.00136,-0.122747,-0.3596525,-0.0077899999999999,0.1191629999999999,-0.3504425,0.008298,-0.164917,-0.8581624999999999,0.040383,0.181373,-0.8815424999999999,0.031659,0
4,-0.0397835,0.7687055,0.0392435,-0.2026875,0.5043855,0.0228725,-0.2473774999999999,0.2605555,0.0181625,0.1409024999999999,0.5043655,0.0103345,0.2006425,0.2348354999999999,0.0022215,-0.2273974999999999,0.0259605,-0.0678054999999999,0.2056325,0.0217665,-0.0786755,-0.0618215,-0.0037035,-0.0013904999999999,0.0618215,0.0037035,0.0013905,-0.1227775,-0.3596345,-0.0077154999999999,0.1191425,-0.3504545,0.0082695,-0.1651875,-0.8583345,0.0387645,0.1826924999999999,-0.8822844999999999,0.0295375,0
5,-0.0397065,0.7684960000000001,0.038839,-0.2024814999999999,0.504346,0.022489,-0.2475715,0.260606,0.017126,0.1409885,0.504346,0.010132,0.2006885,0.234736,0.002047,-0.2272914999999999,0.026234,-0.0683049999999999,0.2051485,0.021178,-0.079555,-0.0618095,-0.003735,-0.0014659999999999,0.0618095,0.0037349999999999,0.001466,-0.1227215,-0.3596839999999999,-0.0079189999999999,0.1191885,-0.350444,0.008117,-0.1633814999999999,-0.858484,0.038939,0.1891785,-0.8865839999999999,0.031031,0
6,-0.0396025,0.7684045,0.0387135,-0.2023424999999999,0.5044045,0.0222134999999999,-0.2475525,0.2604745,0.0169604999999999,0.1410975,0.5043045,0.0100395,0.2007475,0.2346745,0.0019574999999999,-0.2272525,0.0271235,-0.0685675,0.2050274999999999,0.0210395,-0.0810275,-0.0617925,-0.0037714999999999,-0.0015155,0.0617925,0.0037715,0.0015154999999999,-0.1225825,-0.3597355,-0.0079425,0.1192075,-0.3504155,0.0080474999999999,-0.1644625,-0.8585155,0.0383304999999999,0.1881675,-0.8870454999999999,0.0302074999999999,0
7,-0.0394615,0.768508,0.03848,-0.2021595,0.504618,0.021803,-0.2475695,0.260838,0.016681,0.1411405,0.504388,0.009982,0.2006905,0.2349679999999999,0.001647,-0.2274895,0.027489,-0.069037,0.2049405,0.021237,-0.081607,-0.0618075,-0.0037159999999999,-0.0015289999999999,0.0618075,0.003716,0.001529,-0.1226395,-0.359682,-0.007938,0.1192805,-0.3504819999999999,0.007757,-0.1655595,-0.858382,0.037932,0.1866904999999999,-0.885412,0.030089,0
8,-0.039464,0.7685085,0.038449,-0.202166,0.5045784999999999,0.0216929999999999,-0.247636,0.2607085,0.0164329999999999,0.1411339999999999,0.5043785,0.0099089999999999,0.2006639999999999,0.2349085,0.0015879999999999,-0.227626,0.0272935,-0.069269,0.2047739999999999,0.0211775,-0.082229,-0.06181,-0.0037155,-0.001566,0.06181,0.0037155,0.0015659999999999,-0.122646,-0.3596715,-0.008089,0.1192739999999999,-0.3504815,0.0076159999999999,-0.165566,-0.8583815,0.0378299999999999,0.186574,-0.8864315,0.030166,0
9,-0.0393745,0.7684785,0.038334,-0.2020795,0.5045784999999999,0.021517,-0.2476695,0.2607085,0.016171,0.1411905,0.5043785,0.009836,0.2006505,0.2349085,0.001522,-0.2276794999999999,0.0272935,-0.069548,0.2046005,0.0211395,-0.0830279999999999,-0.0618075,-0.0037155,-0.0016009999999999,0.0618075,0.0037155,0.001601,-0.1226395,-0.3596715,-0.008181,0.1193705,-0.3504815,0.007511,-0.1658195,-0.8584115,0.037589,0.1865505,-0.8864315,0.029608,0
10,-0.0392885,0.7684685,0.0382325,-0.2020075,0.5045784999999999,0.0213725,-0.2476775,0.2607085,0.0160435,0.1412425,0.5043785,0.0097825,0.2006224999999999,0.2348985,0.0014404999999999,-0.2277374999999999,0.0272935,-0.0698075,0.2044825,0.0209985,-0.0838075,-0.0618075,-0.0037155,-0.0016284999999999,0.0618075,0.0037155,0.0016284999999999,-0.1226375,-0.3596715,-0.0082605,0.1193725,-0.3504815,0.0075204999999999,-0.1661975,-0.8584315,0.0373155,0.1869825,-0.8873515,0.0291485,0
11,-0.039119,0.7684245,0.038144,-0.201885,0.5046444999999999,0.021247,-0.247675,0.2608245,0.015939,0.141335,0.5043745,0.0097969999999999,0.200605,0.2349045,0.0013599999999999,-0.227785,0.0275695,-0.070038,0.204365,0.0208005,-0.084418,-0.061805,-0.0037045,-0.00165,0.061805,0.0037045,0.0016499999999999,-0.1226749999999999,-0.3596655,-0.008328,0.119355,-0.3505155,0.0073519999999999,-0.166625,-0.8584155000000001,0.037058,0.186945,-0.8870755,0.028398,0
12,-0.038947,0.768373,0.03806,-0.201798,0.504703,0.021157,-0.247678,0.260873,0.015879,0.141442,0.5043529999999999,0.0098369999999999,0.200572,0.2349329999999999,0.001282,-0.227788,0.0278259999999999,-0.0702079999999999,0.204232,0.020557,-0.084928,-0.061805,-0.0036939999999999,-0.0016629999999999,0.061805,0.003694,0.001663,-0.122728,-0.359647,-0.008397,0.119312,-0.350547,0.007179,-0.166898,-0.858387,0.03692,0.186902,-0.883577,0.02779,0
13,-0.0387815,0.7683344999999999,0.0379805,-0.2017105,0.5047545,0.0210795,-0.2476805,0.2609145,0.0158245,0.1415294999999999,0.5043445,0.0098835,0.2005394999999999,0.2349445,0.0012065,-0.2277905,0.0280284999999999,-0.0702825,0.2041295,0.0203585,-0.0853724999999999,-0.0618045,-0.0036784999999999,-0.0016714999999999,0.0618045,0.0036785,0.0016715,-0.1227605,-0.3596255,-0.0084645,0.1192594999999999,-0.3505955,0.0067845,-0.1672705,-0.8583555,0.0367365,0.1859195,-0.8795955000000001,0.0272915,0
