FrameNo,nose_3d_x,nose_3d_y,nose_3d_z,left_shoulder_3d_x,left_shoulder_3d_y,left_shoulder_3d_z,left_elbow_3d_x,left_elbow_3d_y,left_elbow_3d_z,right_shoulder_3d_x,right_shoulder_3d_y,right_shoulder_3d_z,right_elbow_3d_x,right_elbow_3d_y,right_elbow_3d_z,left_wrist_3d_x,left_wrist_3d_y,left_wrist_3d_z,right_wrist_3d_x,right_wrist_3d_y,right_wrist_3d_z,left_hip_3d_x,left_hip_3d_y,left_hip_3d_z,right_hip_3d_x,right_hip_3d_y,right_hip_3d_z,left_knee_3d_x,left_knee_3d_y,left_knee_3d_z,right_knee_3d_x,right_knee_3d_y,right_knee_3d_z,left_ankle_3d_x,left_ankle_3d_y,left_ankle_3d_z,right_ankle_3d_x,right_ankle_3d_y,right_ankle_3d_z,activity_label
244,0.001542,0.7216085000000001,0.0481155,-0.147679,0.5337485,0.0191295,-0.268569,0.7156184999999999,-0.0779755,0.1547009999999999,0.5232684999999999,0.0054744999999999,0.276271,0.6741885000000001,-0.1021675,-0.2860189999999999,0.9364285,-0.1255075,0.274151,0.8785985000000001,-0.1479475,-0.075223,-0.0010715,0.0059995,0.075223,0.0010714999999999,-0.0059995,-0.0810709999999999,-0.3717915,0.0411705,0.09536,-0.3382715,0.0341864999999999,-0.095819,-0.7279914999999999,0.0517785,0.099022,-0.7159815,0.0400585,0
245,0.0016109999999999,0.7229205,0.0492365,-0.148668,0.5326204999999999,0.0197815,-0.275568,0.7046505,-0.0787634999999999,0.155322,0.5216005,0.0064205,0.280822,0.6613605,-0.1042315,-0.286028,0.9251005,-0.1274215,0.273642,0.8664605,-0.1523815,-0.075201,-0.0010685,0.0060035,0.075201,0.0010685,-0.0060035,-0.080933,-0.3711895,0.0415655,0.095471,-0.3368295,0.0348185,-0.095738,-0.7256895,0.0524315,0.099048,-0.7145195,0.0407985,0
246,0.0016989999999999,0.724701,0.050475,-0.149725,0.531311,0.020407,-0.283975,0.6900310000000001,-0.0800729999999999,0.155975,0.519391,0.0072149999999999,0.285385,0.645871,-0.1071439999999999,-0.286085,0.907801,-0.1301439999999999,0.272925,0.8487210000000001,-0.157444,-0.075184,-0.0010759999999999,0.0060249999999999,0.075184,0.001076,-0.006025,-0.080794,-0.3710589999999999,0.0419309999999999,0.09554,-0.335039,0.035426,-0.095665,-0.722799,0.053057,0.099078,-0.712719,0.0414939999999999,0
247,0.001753,0.7270155,0.051873,-0.15088,0.5296654999999999,0.021017,-0.29246,0.6728155,-0.0815449999999999,0.15657,0.5166455000000001,0.007847,0.28928,0.6278954999999999,-0.110065,-0.28623,0.8865255000000001,-0.133165,0.27095,0.8299155,-0.162335,-0.075152,-0.0010774999999999,0.006096,0.075152,0.0010775,-0.0060959999999999,-0.0807479999999999,-0.3706045,0.042301,0.095535,-0.3328045,0.036008,-0.09566,-0.7192645,0.053657,0.099054,-0.7104645,0.04215,0
248,0.0018389999999999,0.7295820000000001,0.0534985,-0.15221,0.527992,0.0216135,-0.29979,0.652002,-0.0830545,0.15714,0.513742,0.0083055,0.29184,0.608492,-0.1130295,-0.28636,0.861942,-0.1366095,0.269,0.811122,-0.1679894999999999,-0.0751169999999999,-0.001127,0.0061305,0.0751169999999999,0.001127,-0.0061305,-0.080763,-0.369928,0.0426234999999999,0.0954879999999999,-0.330478,0.0365835,-0.0957,-0.715478,0.0541684999999999,0.098996,-0.7081379999999999,0.0427225,0
249,0.0019585,0.7327225,0.055211,-0.1536455,0.5252725,0.022449,-0.3054854999999999,0.6296225,-0.083674,0.1577545,0.5107225,0.00868,0.2927945,0.5887725,-0.116145,-0.2864454999999999,0.8336525,-0.139875,0.2657945,0.7851825,-0.174305,-0.0750815,-0.0012255,0.006167,0.0750815,0.0012255,-0.006167,-0.0807995,-0.3692975,0.042939,0.0954405,-0.3299375,0.037485,-0.0957355,-0.7113375,0.054655,0.0989315,-0.7057175,0.043229,0
250,0.0020879999999999,0.7364825,0.056948,-0.15501,0.5222225,0.023415,-0.30983,0.6043825,-0.083823,0.15838,0.5076325,0.009087,0.29274,0.5675525,-0.119667,-0.28657,0.8051125,-0.142747,0.26138,0.7606525,-0.179807,-0.075066,-0.0013115,0.006208,0.075066,0.0013115,-0.0062079999999999,-0.0808899999999999,-0.3681775,0.04326,0.095386,-0.3290975,0.038366,-0.09579,-0.7068075,0.05515,0.0988689999999999,-0.7028575,0.043741,0
251,0.0022474999999999,0.7406465,0.058657,-0.1558955,0.5191965000000001,0.024214,-0.3117855,0.5787765,-0.083439,0.1585245,0.5049165,0.009438,0.2926045,0.5436865000000001,-0.1228419999999999,-0.2858555,0.7781065,-0.144982,0.2561345,0.7393265,-0.184222,-0.0750585,-0.0013854999999999,0.0062499999999999,0.0750585,0.0013855,-0.00625,-0.0810175,-0.3664435,0.0435199999999999,0.0956935,-0.3279735,0.03912,-0.0958555,-0.7020035,0.055568,0.0988145,-0.6996435,0.044177,0
252,0.0024044999999999,0.744999,0.060357,-0.1563175,0.516069,0.024692,-0.3118975,0.549379,-0.083144,0.1586425,0.502549,0.00973,0.2924525,0.517779,-0.125497,-0.2850675,0.743599,-0.147177,0.2499725,0.716039,-0.1889269999999999,-0.0750725,-0.001402,0.006307,0.0750725,0.001402,-0.006307,-0.0811555,-0.364171,0.043733,0.0960415,-0.326361,0.039657,-0.0959575,-0.6970810000000001,0.055919,0.0987205,-0.696171,0.044548,0
253,0.002481,0.749354,0.0619215,-0.156544,0.5133639999999999,0.0249365,-0.3121239999999999,0.520334,-0.0828785,0.158416,0.500284,0.0098125,0.292186,0.493394,-0.1275465,-0.2833739999999999,0.7111139999999999,-0.1495665,0.242446,0.689974,-0.1933165,-0.075127,-0.0013859999999999,0.0063554999999999,0.075127,0.0013859999999999,-0.0063555,-0.081412,-0.361436,0.0438584999999999,0.096293,-0.324826,0.0401975,-0.096164,-0.6922360000000001,0.0562175,0.098509,-0.692416,0.0448395,0
