f1_weighted,accuracy,precision,recall
0.6141474518466675,0.6124401913875598,0.6187285823420277,0.6220095693779905
0.5972413826283794,0.5933014354066986,0.6074603822467368,0.5933014354066986
0.6522020915765913,0.6650717703349283,0.6428373382836343,0.645933014354067
0.6419837277914936,0.6507177033492823,0.6628679135856169,0.6507177033492823
0.6406114576686356,0.6507177033492823,0.6378631712468101,0.6507177033492823
0.6572375212801846,0.6794258373205742,0.6646446522642696,0.6794258373205742
0.6085624590663784,0.6267942583732058,0.6065440696187524,0.6267942583732058
0.6414923224720152,0.645933014354067,0.6453053590425388,0.6555023923444976
0.6565870511902698,0.6634615384615384,0.6484052623732857,0.6634615384615384
0.5649111270210627,0.5769230769230769,0.5633447620019237,0.5721153846153846
