FrameNo,nose_x,nose_y,nose_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_ankle_x,left_ankle_y,left_ankle_z,right_ankle_x,right_ankle_y,right_ankle_z
0,-0.015915500000000003,0.756822,0.052556500000000006,-0.1812355,0.473682,0.008893500000000006,-0.2189155,0.218862,-0.011430499999999996,0.1494045,0.473062,0.015932500000000006,0.2194945,0.245682,0.0026875000000000024,-0.1993355,0.026098,-0.0877565,0.1449445,0.30059199999999997,-0.1743765,-0.0721895,-0.0026420000000000003,0.00011350000000000249,0.0721895,0.0026420000000000003,-0.00011349999999999555,-0.09196750000000001,-0.34760800000000003,0.027760500000000007,0.0986445,-0.353068,0.0472115,-0.09869750000000001,-0.663888,0.07309550000000001,0.09261749999999999,-0.658208,0.09297250000000001
1,-0.015966000000000004,0.756768,0.052723,-0.181223,0.473648,0.008978999999999997,-0.218953,0.218768,-0.011356999999999999,0.149327,0.473208,0.016083999999999998,0.187197,0.231628,-0.060512,-0.19928300000000002,0.026103,-0.087693,0.144517,0.337418,-0.223453,-0.072185,-0.002663,0.00015899999999999942,0.072185,0.002663,-0.00015899999999999942,-0.09195400000000001,-0.347652,0.027844,0.098642,-0.353112,0.047293,-0.098654,-0.663972,0.073155,0.092661,-0.658282,0.093113
2,-0.015944,0.7567809999999999,0.0530165,-0.181153,0.473611,0.0090965,-0.21885300000000002,0.218721,-0.011245499999999999,0.14935700000000002,0.47325100000000003,0.0162465,0.18978699999999998,0.234231,-0.0571225,-0.199173,0.026084,-0.0875205,0.114847,0.334721,-0.21118050000000002,-0.072181,-0.002652,0.00012949999999999767,0.072181,0.002652,-0.00012949999999999767,-0.09184200000000001,-0.34761899999999996,0.0279625,0.098755,-0.352389,0.0469085,-0.098621,-0.663649,0.07341149999999999,0.09277,-0.6582790000000001,0.0930955
3,-0.015991999999999996,0.756787,0.053105,-0.18116899999999997,0.473617,0.009125000000000005,-0.21884900000000002,0.218727,-0.011221999999999996,0.14932099999999998,0.473287,0.016232000000000003,0.19282100000000002,0.236937,-0.050275,-0.199139,0.026134,-0.087516,0.16185100000000002,0.30367700000000003,-0.23625600000000002,-0.072175,-0.0026569999999999996,0.0001510000000000053,0.072175,0.0026569999999999996,-0.00015099999999999836,-0.091838,-0.34762299999999996,0.027988000000000006,0.098778,-0.352373,0.046886000000000004,-0.098357,-0.6628930000000001,0.073396,0.092919,-0.658313,0.093103
4,-0.0161235,0.7567440000000001,0.05336249999999999,-0.1812435,0.473564,0.0092275,-0.2188435,0.218954,-0.011077500000000004,0.14914650000000002,0.473344,0.0161545,0.1929265,0.237384,-0.050335500000000005,-0.1991335,0.026093,-0.0874815,0.1201065,0.31888399999999995,-0.2169415,-0.0721745,-0.002663,0.00019249999999999823,0.0721745,0.002663,-0.00019250000000000517,-0.09188949999999999,-0.34724600000000005,0.0278225,0.0989225,-0.351986,0.046954499999999996,-0.09813949999999999,-0.662216,0.0735975,0.09297350000000001,-0.658226,0.0929705
5,-0.016136000000000005,0.7567945,0.0537295,-0.181182,0.4736045,0.0093175,-0.218822,0.2195445,-0.0108645,0.14918800000000002,0.4733645,0.0161225,0.195698,0.2381645,-0.0450315,-0.199082,0.0260205,-0.0872595,0.121028,0.3174145,-0.2119295,-0.07216600000000001,-0.0026585,0.0001774999999999971,0.07216600000000001,0.0026585,-0.0001774999999999971,-0.09178,-0.3472055,0.0278305,0.099046,-0.3520355,0.0469745,-0.097991,-0.6621454999999999,0.0736545,0.09301499999999999,-0.6583455,0.09295049999999999
6,-0.016290500000000003,0.7568225000000001,0.054045499999999996,-0.18120150000000002,0.4736225,0.009314499999999996,-0.2188315,0.21943249999999997,-0.010894500000000001,0.14913849999999998,0.4732925,0.016306499999999998,0.1956885,0.2382925,-0.04498150000000001,-0.1991115,0.0260085,-0.0872315,0.1340485,0.3263625,-0.2127215,-0.0721665,-0.0026555,0.00017149999999999804,0.0721665,0.0026555,-0.00017150000000000498,-0.09175450000000002,-0.3472575,0.0279335,0.09899249999999998,-0.35204749999999996,0.0470965,-0.09802050000000001,-0.6621575,0.0736845,0.0930745,-0.6583375,0.0930275
7,-0.016197000000000003,0.756918,0.054106,-0.181087,0.473608,0.009429,-0.21879700000000002,0.219288,-0.010909000000000002,0.149113,0.47326799999999997,0.016341,0.19620300000000002,0.237008,-0.041301000000000004,-0.19910699999999998,0.026258999999999998,-0.087252,0.13594299999999998,0.322498,-0.20767200000000002,-0.072172,-0.0026509999999999997,0.00022400000000000198,0.072172,0.0026509999999999997,-0.00022400000000000198,-0.09169000000000001,-0.34729200000000005,0.027935,0.09897,-0.352182,0.047145,-0.098219,-0.662192,0.07352500000000001,0.09290999999999999,-0.658002,0.093129
8,-0.016215,0.7569545000000001,0.054372,-0.181065,0.4736045,0.009526,-0.218795,0.2193445,-0.010839000000000001,0.149075,0.4732645,0.016419999999999997,0.196235,0.23645449999999998,-0.041405,-0.199075,0.0262555,-0.087191,0.132695,0.3233645,-0.207801,-0.07216900000000001,-0.0026505,0.0002339999999999981,0.07216900000000001,0.0026505,-0.00023400000000000504,-0.09162400000000001,-0.3472555,0.027957,0.098999,-0.3521455,0.047126,-0.09820100000000001,-0.6620855,0.073568,0.092913,-0.6579254999999999,0.093137
9,-0.016223499999999995,0.756995,0.0546325,-0.18105549999999998,0.473615,0.009637499999999997,-0.21880549999999999,0.219385,-0.010783500000000001,0.14904450000000002,0.473265,0.016512499999999996,0.1962545,0.236455,-0.0413935,-0.1990255,0.026173,-0.08713950000000001,0.12933450000000002,0.323365,-0.2047495,-0.0721665,-0.002648,0.0002454999999999957,0.0721665,0.002648,-0.00024550000000000266,-0.09155150000000001,-0.34724499999999997,0.0279805,0.0990345,-0.352105,0.0471375,-0.09819149999999999,-0.662065,0.0736085,0.0929285,-0.657845,0.0931215
